2019 Progressive Rock Albums,,Releases:,364,"Sort by Artist, Vocal Style, or Genre:
Fervent Mind,Tranquilize,March 22,LP,"Prog-rock, Post-rock, Alt-rock",Clean,"Oslo, Norway",BC,S,,YT,Az,
Grice,One Thousand Birds,March 22,LP,"Prog-rock, Singer-songwriter, Alt-rock, Experimental",Clean,"London, England",BC,S,,,Az,
Kuhn Fu,Chain the Snake,March 22,LP,"Prog-rock, Punk, Jazz, Alternative, Psychedelic",Clean,"Groningen, Netherlands",BC,S,,,,
Monograf,Nadir,March 22,LP,"Prog-rock, Post-rock, Folk",Clean,"Oslo, Norway",BC,S,,,,
Mother of Millions,Artifacts,March 22,LP,"Prog-rock, Alt-metal",Clean,"Athens, Greece",BC,S,,YT,Az,
Robert Machado,The Feast,March 22,LP,"Prog-rock, Alternative, Psychedelic",Clean,"Atlanta, GA",,S,,,,
RPWL,Tales From Outer Space,March 22,LP,"Prog-rock, Neo-prog, Sympohnic",Clean,"Munich, Germany",,S,,YT,Az,
t,Solipsystemology,March 22,LP,"Prog-rock, Neo-prog",Clean,"Hannover, Germany",,S,,,,
The Mute Gods,Atheists and Believers,March 22,LP,"Prog-rock, Heavy rock",Instru./Clean,International,,S,,YT,Az,
Trojka,Tre Ut,March 22,LP,"Prog-rock, Pop, Electronic",Clean,"Bergen, Norway",,S,,,Az,
Ultra Zook,Ultra Zook,March 22,LP,"Prog-rock, RIO, Avant-prog, Alternative, Experimental, Tropical",Clean,"Clermont-Ferrand, France",BC,S,,,,
3rd Ear Experience with Dr Space,From Ear To Space,March 23,LP,"Prog-rock, Space rock",Instrumental,"Hamburg, Germany",,,,,,
Cedith,Dawn of Man,March 23,LP,"Prog-metal/rock, Stoner rock, Psychedelic",Clean,"Istanbul, Turkey",BC,S,GP,YT,Az,
High Spy,The Code,March 24,LP,"Prog-rock, Neo-prog",Clean,"Staffordshire, England",BC,,,,,
The Hare and Hoofe,The Hare and Hoofe,March 24,LP,"Prog-rock, Psychedelic, Folk, Space rock, Horror",Clean,"London, England",BC,,,,,
prototypeLAB,Mea Culpa,March 25,LP,"Prog-rock, Experimental",Clean,Italy,BC,,GP,YT,Az,
Dan Barracuda,Wavelength,March 26,LP,"Prog-rock, Acoustic, Psychedelic, Alternative",Clean,"Boston, MA",BC,S,,,,
Conqueror,In Orbita,March 27,LP,"Prog-rock, RPI",Clean,"Sicily, Italy",,S,,,,
Isles of Aura,The Grand Allure,March 27,LP,"Prog-rock, Alternative, Djent-ish lite",Clean,"Rockford, IL",,S,,,,
Driftglass,World of Conversation,March 28,LP,"Prog-rock, Heavy rock",Clean,"Toronto, ON",BC,S,,,,
Last Flight to Pluto,A Drop in the Ocean,March 28,LP,"Prog-rock, Neo-prog, Rush-oriented",Clean,England,,,,,,
A.C.T,Rebirth,March 29,EP,"Prog-rock, Hard rock, Symphonic",Clean,"Malmö, Sweden",,,,,,
Adrian Belew,Pop-Sided,March 29,LP,"Prog-rock, Eclectic",Instru./Clean,"Covington, KY",,,,,,
Afterhand,Escaping Misfortune,March 29,LP,Prog-rock,Clean,"Salt Lake City, UT",,S,,,,
Alan Davey's Bedouin,Time is Made of Gold,March 29,LP,"Prog-rock, Psychedelic, Space rock, Middle eastern, Hawkwind-ish",Clean,UK,BC,,,,,
Coarbegh,The Sound & Flow Of London Town,March 29,LP,"Prog-rock, Ambient, Electronic, Acoustic",Clean,"Speyer, Germany",,S,,,,
Crea,Dwarves And Penguins,March 29,LP,"Prog-rock, Neo-prog, Symphonic",Clean,"Linköping, Sweden",,S,,,Az,
Eyescream,The Other Side of Us,March 29,LP,"Prog-rock, Hard rock",Clean,"Halmstad, Sweden",,S,,,,
Final Pilots,Cebrenia,March 29,EP,"Prog-rock, Psychedelic, Space, Alternative, Electronic",Instrumental,"Birmingham, England",BC,S,,,,
Garcia Peoples,Natural Facts,March 29,LP,"Prog-rock, Psychedelic, Jam, Alternative, Indie, Folk",Clean,"Rutherford, NJ",BC,S,,,,
Green Desert Tree,Progressive Worlds,March 29,LP,"Prog-rock, Neo-prog",Clean,"Berlin, Germany",BC,S,,,Az,
Jarmo Saari Republic,Soldiers Of Light,March 29,LP,"Prog-rock, Jazz, Fusion, Drum-oriented",Instrumental,Finland,,S,,,,
Lion Shepherd,III,March 29,LP,"Prog-rock, Middle-eastern, Heavy rock, Pop",Clean,"Warsaw, Poland",,S,,,,
Smash The Crash,PL Lady,March 29,LP,"Prog-rock, Fusion, Jazz, Electronica",Instrumental,"Łódź, Poland",BC,,,,,
Starquake,Time Space Matter,March 29,LP,"Prog-metal, Heavy prog, Neo-prog, Deep Purple-ish",Clean,"Bavaria, Germany",,S,,,,
Supersister,Retsis Repus (Projekt 2019),March 29,LP,"Prog-rock, Canterbury",Clean,Netherlands,,,,,,
This is Not an Elephant,This is Not an Elephant,March 29,LP,"Prog-rock, Alternative, Post-grunge, Stoner",Clean,"Munich, Germany",BC,S,,,,
King of Agogik,After The Last Stroke,March 30,LP,"Prog-rock, Neo-prog",Instrumental,"Rheinland-Pfalz, Germany",,,,,,
Numen,Cyclothimia,March 30,LP,"Prog-rock, Neo-prog",Clean,"Alicante, Spain",,,,,Az,
Phoenix Again,Friends of Spirit,March 30,LP,"Prog-rock, Folk, Symphonic, Jazz",Instru./Clean,"Brescia, Italy",BC,,,,,
Jon Anderson,1000 Hands - Chapter I,March 31,LP,"Prog-rock, Symphonic",Clean,"Lancashire, England",,,,,,
The Mercury Tree,Spidermilk,April 2,LP,"Prog-rock, Experimental, Math Rock, Psychedelic, Post-rock",Clean,"Portland, OR",BC,,,,,
Rob Cottingham,Back Behind The Orchard Tree,April 3,LP,"Prog-rock, Neo-prog",Clean,"Milton Keynes, England",,,,,,
Semistereo,Zabriskii,April 4,LP,"Prog-rock, Alt-rock, Post-rock",Clean,"Amsterdam, Netherlands",BC,S,,,,
35 Tapes,Lost & Found,April 5,LP,"Prog-rock, Symphonic",Clean,"Oslo, Norway",,S,,,,
Avenue X,Building Empires,April 5,LP,"Prog-rock, Hard rock",Clean,"Arlington Heights, IL",BC,S,,,,
Fabio Zuffanti,In / Out,April 5,LP,"Prog-rock, RPI, Pop",Instru./Clean,"Genova, Italy",,,,,,
La Batteria,La Batteria 2,April 5,LP,"Prog-rock, Funk, RPI",Instru./Clean,"Rome, Italy",BC,,,,,
Lastwind,High On Life,April 5,LP,"Prog-rock, Psychedelic, Electronic, Space rock",Clean,"Bristol, England",,,,,,
Mt. Amber,Another Moon,April 5,LP,"Prog-rock, Atmospheric",Clean,"Berlin, Germany",,S,,,,
The Minstrel’s Ghost,Jack: A Different Tale,April 5,LP,"Prog-rock, Hard rock, Electronic",Clean,"Florence, AL",BC,,,,,
tRKproject,Mr Scrooge,April 5,LP,"Prog-rock, Singer-songwriter",Clean,"Kraków, Poland",,S,,,,
SHAMIN,fine gnaw,April 6,LP,"Prog-rock, Avant-garde, Experimental, Jazz",Instrumental,"Brisbane, Australia",BC,,,,,
Red Sand,Forsaken,April 7,LP,"Prog-rock, Neo-prog",Clean,QC,,,,,,
Eveline's Dust,K,April 8,LP,"Prog-rock, Heavy prog, Crimson-y",Clean,"Pisa, Italy",,S,,,,
Lost World Band,Spheres Aligned,April 8,LP,"Prog-rock, Neo-prog, Symphonic",Instrumental,"Moscow, Russia",BC,S,,,,
Pervy Perkin,Comedia : Inferno,April 8,LP,"Prog-rock, Heavy prog, Eclectic, Experimental",Mixed,"Murcia, Spain",,S,,,,
Rascal Reporters,"Redux, Vol. 1 ",April 8,LP,"Prog-rock, Canterbury, Avant, Experimental, Jazz, Fusion, RIO",Instru./Clean,"Detroid, MI",BC,S,,,,
Steve Hughes ,Themes - Volume 1,April 9,LP,"Prog-rock, Soundtrack, Ambient",Instrumental,"London, England",BC,S,,,,
Town Portal,Of Violence,April 9,LP,"Prog-rock, Math rock",Instrumental,"Sydney, Australia",BC,S,,,,
Silver Key,Third,April 10,LP,"Prog-rock, Neo-prog",Clean,"Milan, Italy",BC,S,,,,
Cosmograf,Mind Over Depth,April 12,LP,"Prog-rock, Neo-prog",Clean,"Portsmouth, England",BC,,,,,
Korzo,Inspire,April 12,LP,"Prog-rock, Post-rock, Alternative , Psychedelic",Clean,Ukraine,BC,S,,,,
Lucy In Blue,In Flight,April 12,LP,"Prog-rock, Psychedelic",Clean,"Reykjavik, Iceland",BC,S,,,,
Monkey3,Sphere,April 12,LP,"Prog-rock, Space rock, Psychedelic, Stoner",Instrumental,"Lausanne, Switzerland ",BC,S,,,,
The Far Meadow,Foreign Land,April 12,LP,"Prog-rock, Symphonic",Clean,UK,BC,S,,,,
Neil Campbell,Last Year's News,April 13,LP,"Prog-rock, New Age, Classical, Acoustic",Instrumental,"Liverpool, England",BC,S,,,,
The Steve Bonino Project,Stargazer 2,April 14,LP,"Prog-rock, AOR",Clean,CA,,S,,,,
Djam Karet,A Sky Full of Stars for a Roof,April 15,LP,"Prog-rock, Psychedelic, Acoustic",Instrumental,"Claremont, CA",BC,S,,,,
Inventions,Logica,April 15,LP,"Prog-rock, Alternative, Crimson-esque",Clean,Netherlands,BC,S,,,,
The Skys,Automatic Minds,April 15,LP,"Prog-rock, Heavy rock, Symphonic, Floyd-esque",Clean,Lithuania,,S,,,,
HOIA,Scavenger,April 19,LP,"Prog-rock, Avant-garde, Experimental, Industrial",Clean,"Mumbai, India",BC,S,,,,
Jordan Rudess,Wired for Madness,April 19,LP,"Prog-rock, Virtuoso, Classical",Clean,"New York, NY",,S,,,,
Nick Johnston,Wide Eyes in the Dark,April 19,LP,"Prog-rock, Virtuoso",Instrumental,Canada,,S,,,,
United Progressive Fraternity,Planetary Overload: Loss,April 19,LP,"Prog-rock, Symphonic",Clean,International,,S,,,,
Erth,Petricor,April 20,LP,"Prog-rock, Experimental, Funk, Fusion, Jazz",Instrumental,"San José, Costa Rica",BC,S,,,,
Alan Parsons,The Secret,April 26,LP,"Prog-rock, Symphonic, Pop Rock",Clean,"London, England",,S,,,,
King Gizzard & the Lizard Wizard,Fishing for Fishies,April 26,LP,"Prog-rock, Psychedelic",Clean,"Melbourne, Australia",,S,,,,
Lonely Robot,Under Stars,April 26,LP,"Prog-rock, Neo prog, Pop",Clean,UK,,S,,,,
Lost in Kiev,Persona,April 26,LP,"Prog-rock, Post-rock, Post-hardcore",Instrumental,"Paris, France",BC,S,,,,
Maraton,Meta,April 26,LP,"Prog-rock, Pop, Heavy rock",Clean,"Oslo, Norway",BC,S,,,,
PoiL,Sus,April 26,LP,"Prog-rock, RIO, Zeuhl, Surf",Clean,"Lyon, France",BC,S,,,,
Rodrigo y Gabriela,Mettavolution,April 26,LP,"Prog-rock, Acoustic",Instrumental,"Ciudad de México, Mexico",,S,,,,
Sonar,The Bill Laswell Mix Translations ,April 26,EP,"Prog-rock, Groove, Minimalism, Math-rock, Post",Instrumental,"Zürich, Switzerland",BC,,,,,
Voyag3r,War Mask,April 26,LP,"Prog-rock, Space, Synthwave",Instrumental,"Detroit, MI",BC,S,,,,
Cyril,The Way Through,April 30,LP,"Prog-rock, Hard rock, Melodic",Clean,Germany,,S,,,,
Loonypark,Deep Space Eight,April 30,LP,"Prog-rock, Pop",Clean,"Kraków, Poland",,S,,,,
Seven Steps to the Green Door,The?Lie,April 30,LP,"Prog-rock, Neo-prog",Clean,"Sachsen, Germany",,S,,,,
This Winter Machine,A Tower of Clocks,April 30,LP,"Prog-rock, Neo-prog",Clean,"Leeds, England",,,,,,
Huis,Abandoned,May 1,LP,"Prog-rock, Neo-prog, Symphonic",Clean,"Montreal, QC",,S,GP,YT,Az,🍎
Bjørn Riis,A Storm is Coming,May 3,LP,"Prog-rock, Singer-songwriter",Clean,"Oslo, Norway",BC,S,GP,YT,Az,🍎
Dizzy Mystics,Wanderlost,May 3,LP,"Prog-rock, Eclectic, Alternative, Jazz Funk",Clean,"Winnipeg, MB",BC,S,GP,YT,Az,🍎
Jon Durant,Alternate Landscapes,May 3,LP,"Prog-rock, Acoustic, Ambient, Fusion, Jazz, Electronic",Instrumental,"Boston, MA",BC,S,GP,YT,Az,🍎
Panzerpappa,Summarisk Suite,May 3,LP,"Prog-rock, RIO, Avant",Instrumental,"Oslo, Norway",BC,S,GP,YT,Az,🍎
The Physics House Band,Death Sequence,May 3,EP,"Prog -rock, Fusion, Psychedelic, Math Rock",Instrumental,"London, England",BC,S,GP,,Az,🍎
IZ,Il Desto Onironauta,May 4,LP,"Prog-rock, nu-jazz, jazz fusion",Instrumental,"Zoppolla, Italy",BC,S,GP,YT,Az,🍎
The Engine Above,Savage Fingers,May 4,EP,"Prog-rock, Neo-prog",Clean,"Vancouver, BC",BC,S,GP,YT,Az,🍎
Security Project,Slowburn,May 8,LP,"Prog-rock, Symphonic, Tribute",Clean,"Seattle, WA",BC,S,GP,YT,Az,🍎
Banco del Mutuo Soccorso,Transiberiana,May 10,LP,"Prog-rock, RPI",Clean,"Rome, Italy",,S,GP,YT,Az,🍎
Gong,The Universe Also Collapses,May 10,LP,"Prog-rock, Psychedelic",Clean,"London, England",,S,GP,,Az,🍎
Isildurs Bane & Peter Hammill,In Amazonia,May 10,LP,"Prog-rock, Symphonic, Electronic",Clean,Sweden / England,,S,GP,YT,Az,🍎
Port Noir,The New Routine,May 10,LP,"Prog-rock, Alternative",Clean,Sweden,,S,GP,YT,Az,🍎
District 97,Screens,May 14,LP,"Prog-rock, Eclectic, Heavy-prog",Clean,"Chicago, IL",,,,,Az,
Galaad,Frat3r,May 15,LP,"Prog-rock, Heavy Prog, Eclectic, Neo-prog",Clean,"Moutier, Switzerland",,S,GP,YT,Az,🍎
AKKU Quintet,Depart,May 17,LP,"Prog-rock, Post, Fusion, Jazz, Trance, Minimalist",Instrumental,"Bern, Switzerland",BC,S,GP,,Az,🍎
Big Big Train,Grand Tour,May 17,LP,"Prog-rock, Neo-prog, Symphonic",Clean,"Bournemouth, England",BC,S,GP,YT,Az,🍎
Roland Bühlmann,Crucial,May 18,LP,"Prog-rock, Fusion, New Age, Minimal, Alternative",Instrumental,"Oekingen, Switzerland",BC,,,,,
The Tirith,A Leap Into The Dark,May 18,LP,"Prog-rock, Heavy prog, Symphonic",Clean,"London, England",BC,S,GP,YT,Az,🍎
IZZ,Don't Panic,May 21,LP,"Prog-rock, Symphonic",Clean,"New York, NY",,S,GP,YT,Az,🍎
Kenner,8Ball City,May 23,LP,"Prog-rock, Fusion, Jazz, Funk, Gospel, Classical, Electronic",Instrumental,"New York, NY",BC,S,GP,YT,Az,🍎
Zonder Wehrkamp,If It's Real,May 24,LP,"Prog-rock, Alternative",Instru./Clean,"Stroudsburg, PA",,S,GP,YT,Az,🍎
Brighteye Brison,V,May 24,LP,"Prog-rock, Eclectic",Clean,"Stockholm, Sweden",BC,S,GP,,Az,🍎
Earth,Full Upon Her Burning Lips,May 24,LP,"Stoner rock, Drone, Doom metal, Psychedelic",Instrumental,"Seattle, WA",BC,S,GP,YT,Az,🍎
Glutton,Eating Music,May 24,LP,"Prog-rock, Post, Math",Clean,"Oslo, Norway",BC,S,GP,YT,Az,🍎
Jordsjø,Nattfiolen,May 24,LP,"Prog-rock, Symphonic, Folk",Clean,"Oslo, Norway",BC,S,GP,YT,Az,🍎
L'Eclair,Sauropoda,May 24,LP,"Prog-rock, Krautrock, Funk, Groove, Fusion, Dub",Instrumental,"Geneva, Switzerland",BC,S,GP,YT,Az,🍎
Look To Windward,In Fantasy,May 25,LP,"Prog-rock, Alt-metal, Pop",Clean,"London, UK",BC,S,GP,YT,Az,🍎
Ben Levin,Jelly Mound,May 28,LP,"Prog-rock, Prog-?",Mixed,"Boston, MA",BC,S,GP,YT,Az,🍎
Masvidal,Mythical,May 31,LP,"Prog-rock, Singer/Songwriter, Acoustic, Electronica",Mixed,"Los Angeles, CA",BC,S,GP,YT,Az,🍎
Broken Parachute,Living Dangerously,May 31,LP,"Prog-rock, Eclectic, Heavy Prog, Fusion, Blues",Clean,"Kingston, Ontario",BC,S,GP,YT,Az,🍎
Freedom To Glide,SEED,May 31,LP,"Prog-rock, Neo-prog",Clean,"Midlands, UK",BC,S,GP,YT,Az,🍎
Nth Ascension,Stranger Than Fiction,May 31,LP,"Prog-rock, Neo-prog",Clean,"Blackpool, England",BC,S,GP,YT,Az,🍎
Han Uil,Esoteric Euphony,June 6,LP,"Prog-rock, Blues, Virtuoso",Clean,Netherlands,BC,S,GP,YT,Az,🍎
Cave In,Final Transmission,June 7,LP,"Prog-rock, Space rock, Post-rock",Clean,"Boston, MA",BC,S,GP,YT,Az,🍎
Jambinai,ONDA,June 7,LP,"Post-rock, Experimental, Traditional",Clean,"Seoul, South Korea",BC,S,GP,YT,Az,🍎
Pelican,Nighttime Stories,June 7,LP,"Prog-rock, Atmospheric, Post",Instrumental,"Chicago, IL",BC,S,GP,YT,Az,🍎
Driving Slow Motion,Arda,June 7,LP,"Post-rock, Ambient",Instrumental,"Fort Worth, TX",BC,S,GP,YT,Az,🍎
Catacombe,Scintilla,June 8,LP,"Post-rock, Ambient",Instrumental,Portugal,BC,S,GP,YT,Az,🍎
Introitus ,Shadows,June 14,LP,"Prog-rock, Neo-prog, Folk, Symphonic",Clean,"Vansbro, Sweden",BC,S,GP,,Az,🍎
Neal Morse,Jesus Christ - The Exorcist,June 14,3xLP,"Prog-rock, Musical",Clean,"Nashville, TN",,S,GP,YT,Az,🍎
Thank You Scientist,Terraformer,June 14,2xLP,"Prog-rock, Eclectic, Jazz, Alternative",Clean,"Montclair, NJ",BC,S,GP,YT,Az,🍎
SubLunar,A Welcome Memory Loss ,June 17,LP,Prog-rock,Clean,Poland,BC,S,GP,YT,Az,🍎
Jardín de la Croix,Letargos,June 19,LP,"Prog-rock, post-rock, math rock",Instrumental,"Madrid, Spain",BC,,,,,
Magma,ZËSS - Le Jour Du Néant,June 28,LP,"Prog-rock, Zeuhl",Clean,"Paris, France",,S,,YT,Az,🍎
The Aristocrats,You Know What…?,June 28,LP,"Prog-rock, Virtuoso",Instrumental,International,,S,GP,YT,Az,🍎
Tony Patterson & Doug Melbourne ,The Divide,June 28,LP,"Prog-rock, Electronica, Ambient",Instru./Clean,UK,,,,YT,Az,🍎
Evan Carson,Ocipinski,July 1,LP,"Prog-rock, Folk, Classical, Ambient",Clean,UK,BC,S,GP,,Az,🍎
Gandalf's Fist,The Clockwork Prologue,July 1,LP,"Prog-rock, Neo-prog, Psychedelic",Clean,"Maryport, England",BC,S,GP,YT,Az,🍎
Atumatu,God Himself,July 5,LP,"Prog-rock, Post-rock, Ambient, Electronic",Clean,"Waterloo, ON",BC,S,GP,YT,Az,🍎
Nad Sylvan,The Regal Bastard,July 5,LP,"Prog-rock, Symphonic",Clean,"West Covina, CA",,S,GP,YT,Az,🍎
Pattern-Seeking Animals,Pattern-Seeking Animals ,July 5,LP,"Prog-rock, Heavy prog, Symphonic",Clean,"Sacramento, CA",,S,GP,YT,Az,🍎
Joona Samuel,The Act Of Disintegration ,July 5,EP,"Prog-rock, Jazz fusion",Instrumental,"Helsinki, Finland",BC,S,GP,YT,Az,🍎
Tycho,Weather,July 12,LP,"Post-rock, Avant pop, Psychedelic, Ambient",Instru./Clean,"San Francisco, CA",BC,S,GP,YT,Az,🍎
Wear Your Wounds,Rust on the Gates of Heaven,July 12,LP,"Post-rock, Ambient, Experimental",Clean,"Essex, MA",BC,S,GP,YT,Az,🍎
Frank Wyatt and Friends,Zeitgeist,July 14,LP,"Prog-rock, Eclectic",Clean,"Harrisonburg, VA",,,,,,
Oh Hiroshima,Oscillation,July 26,LP,"Post-rock, Ambient",Instru./Clean,"Örebro, Sweden",BC,S,GP,YT,Az,🍎
The Tea Club,If/When,July 30,LP,"Prog-rock, Neo-prog, Fusion",Clean,"Philadelphia, PA",BC,S,GP,YT,Az,🍎
Moron Police,A Boat on the Sea,August 16,LP,"Prog-rock, Alt-metal, Funk",Clean,"Farsund, Norway",BC,S,GP,YT,Az,🍎
ISON,INNER - SPACE,August 25,LP,"Post-rock, Drone, Ambient, Shoegaze",Clean,"Stenungsund, Sweden",BC,,,,,
Magic Pie,Fragments Of The 5th Element,August 30,LP,"Prog-rock, Hard rock, ",Clean,"Moss, Norway",BC,S,GP,YT,Az,🍎
Keor,Hive Mind (Reissue),September 1,LP,"Prog-rock, symphonic, fusion",Clean,"Montpellier, France",BC,S,GP,YT,Az,🍎
Orotoro,Of Manatee and Siren,September 1,LP,"Prog-rock, Stoner rock",Clean,"Bordeaux, France",BC,S,,,,
Rise Twain,Rise Twain,September 6,LP,"Prog-rock, Symphonic, Neo-prog",Clean,USA,,S,GP,YT,Az,🍎
Hasse Fröberg & Musical Companion,Parallel Life,September 12,LP,"Prog-rock, Symphonic",Clean,Sweden,,S,GP,,Az,🍎
HarborLights,Isolation Ritual,September 13,LP,Post-rock,Instru./Clean,"Boston, MA",BC,S,GP,YT,,🍎
Chelsea Wolfe,Birth of Violence,September 13,LP,"Gothic rock, Experimental, Folk",Clean,"California, CA",BC,S,GP,,Az,🍎
Psychic Equalizer,The Sixth Extinction,September 16,LP,"Prog-rock, Jazz, Fusion, Ambient, Experimental",Clean,"Santander, Spain",,S,,,,
Helu,Varisema,September 19,LP,"Post-rock, Progressive, Experimental",Instrumental,"Sydney, Australia",BC,S,,,,
Cellar Noise,Nautilus,September 20,LP,"Prog-rock, Prog-metal",Clean,"Milan, Italy",BC,S,,,,
Cathari,Corporeality,September 27,LP,"Prog-rock, Doom metal, Atmospheric",Mixed,"Philadelphia, PA",BC,S,,,,
IQ,Resistance,September 27,2xLP,"Prog-rock, Neo-prog",Clean,"Southampton, UK",,S,GP,,Az,
Jakub Zytecki,"Nothing Lasts, Nothing's Lost",October 3,LP,"Prog-rock, Prog-metal, Experimental",Clean,"Kraków, Poland",BC,S,,,,
The Shaking Sensations,How Are We to Fight the Blight?,October 4,LP,"Post-rock, Atmospheric",Instrumental,"Copenhagen, Denmark",BC,S,,,,
Flying Colors,Third Degree,October 4,LP,"Prog-rock, Symphonic rock, Hard rock",Clean,USA,BC,S,,,,
Masvidal,Human,October 4,LP,"Prog-rock, Singer/Songwriter, Acoustic, Electronica",Clean,"Los Angeles, CA",BC,S,,,,
Noorvik ,Omission,October 4,LP,"Post-rock, Post-metal, Prog-rock",Instrumental,"Cologne, Germany",BC,S,,,,
ESP Project,The Rising,October 11,LP,"Prog-rock, Electronic, Symphonic, Alternative",Clean,"Wendover, England",,S,,,,
Golden Dawn Arkestra,Darkness Falls on the Edge of Time,October 11,EP,"Prog-rock, psychedelic, afro, cinematic, avant-garde",Clean,"Tulsa, OK",BC,S,,,,
Bent Knee,You Know What They Mean,October 11,LP,"Prog-rock, Art rock",Clean,"Boston, MA",,S,,,,
Costin Chioreanu & Sofia Sarri,Afterlife Romance,October 18,LP,"Prog-rock, Avant-garde, Ambient",Clean,"Bucharest, Romania",BC,S,,,,
Strawberry Girls,Tasmanian Glow,October 18,LP,"Prog-rock, math rock, experimental",Instrumental,"Salinas, CA",bc,S,,,,
Lavisher,Drastic Shadows,October 18,LP,"Prog-rock, Alt-rock",Clean,"Chicago, IL",BC,S,,,,
Hawkwind,All Aboard The Skylark,October 25,LP,"Prog-rock, Space rock",Clean,UK,BC,S,,,,
Timelost,Don't Remember Me For This,October 25,LP,"Alt-rock, Shoegaze, Post punk, Grunge",Clean,"Philadelphia, PA",BC,S,,,,
Swans,leaving meaning.,October 25,2xLP,Experimental rock,Clean,"New York, NY",BC,S,,,,
Gob Ribbons,Attain - Maintain,November 1,EP,"Post-rock/metal, Prog-rock",Mixed,"Lucerne, Switzerland",BC,S,GP,YT,Az,
Bask,III,November 8,LP,"Stoner rock, Psychedelic, Americana",Clean,"Asheville, NC",BC,S,,,,
Alex Wilson,Earthbound,November 8,LP,"Prog-rock, Experimental, Ambient",Instrumental,"Flagstaff, AZ",BC,S,,,,
Poly-Math,Sensors In Everything,November 8,EP,"Prog-rock, Math-rock, Experimental",Instrumental,"Brighton, UK",BC,S,,,,
The Flower Kings,Waiting For Miracles,November 8,2xLP,"Prog-rock, Symphonic",Clean,Sweden,,S,,,,
Hammock,Silencia,November 15,LP,"Post-rock, Ambient, Atmospheric",Instrumental,"Nashville, TN",BC,S,,,,
A Formal Horse,Here Comes A Man From The Council With A Flamethrower,November 22,LP,"Prog-rock, Avant-garde, Alternative",Clean,"Southampton, UK",BC,S,,,,
Schizophroid,Welcome to Schizophroid,November 22,LP,"Prog-rock, Art-rock, Experimental",Clean,"Oklahoma City, OK",BC,S,,,,
Russian Flying Squirrel,Sisyphus,November 30,LP,"Prog-rock, Math-rock, Psychedelic",Clean,"Stroud, UK",BC,S,,,,
All This For Nothing,Reverence,December 6,EP,"Prog-rock, Punk rock",Clean,"Pretoria, South Africa",BC,S,,,,
Le Grand Sbam,Vaisseau Monde,December 6,LP,"Prog-rock, Avant-garde, Experimental",Clean,"Lyon, France",BC,S,,,,
Cybernetic Witch Cult,Absurdum ad Nauseam,December 6,LP,"Prog-rock, Stoner metal, Doom metal, Psychedelic Rock",Clean,"Cornwall, UK",BC,S,,,,
Traverser,Jupiter Doesn't Care About You,December 13,LP,"Prog-rock, Prog-metal, Alt-metal",Clean,"Orlando, FL",BC,S,,,,
The Worm Ouroboros,Endless Way From You,December 24,LP,"Prog-rock, Canterbury scene, zeuhl, symphonic",Clean,"Minsk, Belarus",BC,S,,,,
