pa_album_id,raw_musician_name,raw_instruments_roles,is_guest
008c,Andrew Latimer,"guitars, flute, vocals (3,5)",
008c,Peter Bardens,"organ, piano, Minimoog, Mellotron, vocals (1,5), [celesta, clavinet & Fender Rhodes unconfirmed]",
008c,Doug Ferguson,"bass, vocals (5)",
008c,Andy Ward,drums & percussion,
023e,Alex Lifeson,"6- & 12-string electric & acoustic guitars, Taurus bass pedals",
023e,Geddy Lee,"basses, bass pedals, synthesizers (Oberheim polyphonic, OB-X, Minimoog), vocals",
023e,Neil Peart,"drums, timbales, orchestra bells, glockenspiel, wind chimes, crotales, percussion",
023e,Hugh Syme,synthesizers (6),
023e,Terry Brown,co-arranger & co-producer,
047c,Pye Hastings,"electric & acoustic guitars, vocals (3,5)",
047c,David Sinclair,"organ, piano, Mellotron, harmony vocals",
047c,Richard Sinclair,"bass, acoustic guitar, vocals (1,2,4,5)",
047c,Richard Coughlan,"drums, percussion",
047c,Jimmy Hastings,"flute & piccolo flute, tenor saxophone",
047c,John Beecham,trombone (uncredited),
047c,Dave Grinsted,"sound effects, engineer",
09c6,Serge Fiori,"6- & 12-string acoustic guitars, concert flute, mandolin, zither harp, bass drum, cymbal, spoons, vocals",
09c6,Michel Normandeau,"acoustic guitar, accordion, dulcimer, vocals",
09c6,Serge Locat,"piano & electric piano, Mellotron, synthesizer",
09c6,Pierre Daigneault,"concert & piccolo flutes, soprano saxophone, clarinet & bass clarinet, recorder",
09c6,Louis Valois,"bass, electric piano, vocals",
09c6,Marie Bernard,"ondes Martenot (3,4)",
09c6,Judi Richards,vocalisations (5),
09c6,Fred Torak,co-arranger,
0b30,Peter Gabriel,"lead vocals, flute, oboe, tambourine, bass drum",
0b30,Steve Hackett,"guitars (electric, acoustic 6- & 12-string)",
0b30,Tony Banks,"organ, Mellotron MKII, piano & electric piano, 12-string guitar, backing vocals",
0b30,Mike Rutherford,"bass, bass pedals, 12-string guitar, cello, backing vocals",
0b30,Phil Collins,"drums, percussion, backing vocals",
0d91,Mariusz Duda,"vocals, bass, acoustic  guitar",
0d91,Piotr Grudziński,electric guitars,
0d91,Michał Łapaj,"keyboards, Hammond, theremin, backing vocals",
0d91,Piotr Kozieradzki,"drums, percussion",
10f5,"Stefano ""Lupo"" Galifi",vocals,
10f5,Enzo Merogno,"guitar, vocals",
10f5,Pit Corradi,"Mellotron, Hammond organ, vibraphone, Farfisa electric piano",
10f5,Alberto Moreno,"bass, piano",
10f5,Giancarlo Golzi,"drums, timpani, bells, vocals",
13c3,Franco Mussida,"lead vocals, electric & acoustic guitars, 12-string guitar, mandocello, theorbo (?)",
13c3,Flavio Premoli,"lead vocals, Hammond & Pari organs, MiniMoog, Mellotron, harpsichord, piano, spinet, tubular bells",
13c3,Mauro Pagani,"flutes (contralto,piccolo), violin, backing vocals",
13c3,Giorgio Piazza,"bass, backing vocals",
13c3,Franz Di Cioccio,"drums, percussion, backing vocals",
13c3,Claudio Fabi,co-arranger & co-producer,
1472,Miles Davis,trumpet,
1472,John Coltrane,tenor saxophone,
1472,"Julian ""Cannonball"" Adderley",alto saxophone (excl. 3),
1472,Bill Evans,piano (excl. 2),
1472,Wynton Kelly,piano (2),
1472,Paul Chambers,double bass,
1472,Jimmy Cobb,drums,
14f0,Francesco Di Giacomo,lead vocals,
14f0,Marcello Todaro,"electric & acoustic guitars, vocals",
14f0,Vittorio Nocenzi,"organ, harpsichord, clarino (?), recorder, vocals",
14f0,Gianni Nocenzi,"piano, E-flat clarinet, vocals",
14f0,Renato D'Angelo,bass,
14f0,Pier Luigi Calderoni,"drums, timpani",
16cc,Steven Wilson,"vocals, guitars, keyboards, Mellotron, bass (3), producing & mixing",
16cc,Guthrie Govan,lead guitar (1-6),
16cc,Alan Parsons,"guitar (3), associate producer & engineer",
16cc,Niko Tsonev,"guitar (2.1,2.6)",
16cc,Adam Holzman,"piano, Hammond, Fender Rhodes, Minimoog",
16cc,Theo Travis,"saxophone, flute, clarinet",
16cc,Nick Beggs,"bass, Chapman stick (3), backing vocals",
16cc,Marco Minnemann,"drums, percussion",
16cc,London Session Orchestra,strings,
16cc,Dave Stewart,strings arranger,
16cc,Perry Montague-Mason,strings soloist,
16cc,Jakko Jakszyk,"vocals (1,5)",
1cdb,David Gilmour,"lead guitar, rhythm & acoustic (2), bass (3,4), talkbox (3), lead vocals (2)",
1cdb,Richard Wright,"Hammond, piano & electric piano, clavinet, MiniMoog, ARP string synth, harmony vocals (2)",
1cdb,Roger Waters,"bass (2), acoustic (1) & rhythm (3,4) guitars, tape effects, vocoder, lead & harmony vocals",
1cdb,Nick Mason,"drums, percussion, tape effects",
1cdb,Snowy White,guitar solo (track 1 version only on 8-trk Cartridge release),
1dbc,John McLaughlin,"acoustic (4) & electric guitars, producer",
1dbc,Jan Hammer,"piano (4), Fender Rhodes, organ (?)",
1dbc,Jerry Goodman,acoustic (4) & electric violins,
1dbc,Rick Laird,bass (excl. 4),
1dbc,Billy Cobham,drums (excl. 4),
202c,Mikael �kerfeldt,"electric & acoustic (6- & 12-string) guitars, Mellotron, vocals, producer",
202c,Peter Lindgren,guitars,
202c,Per Wiberg,"piano, electric piano, Mellotron, Hammond, Moog",
202c,Martin Mendez,basses (fretted & fretless),
202c,Martin Lopez,"drums, percussion",
202c,Martin Axenrot,drums (9),
202d,Eric Stewart,"lead electric & slide guitars, piano, electric piano, organ, Mellotron, marimba, vocals",
202d,Lol Creme,"guitar, piano, electric piano, Mellotron, synth, maracas, whistle, percussion, vocals",
202d,Graham Gouldman,"bass, acoustic & electric guitars, bouzouki, autoharp, tubular bells, tambourine, percussion, vocals",
202d,Kevin Godley,"drums, percussion, vocals",
2567,Christian Vander,"drums & percussion, organ, vocals",
2567,Klaus Blasquiz,"vocals, percussion",
2567,Jannik Top,bass,
2567,Teddy Lasry,"brass, flute, conductor",
2567,Jean-Luc Manderlier,"piano, organ",
2567,Claude Olmos,guitar,
2567,Ren� Garber,"bass clarinet, vocals",
2567,"Doris Reihnardt, Evelyne Razymovski, Mich�le Saulnier, Muriel Streisfeld, Stella Vander",choir,
2aa8,Annie Haslam,lead & backing vocals,
2aa8,Michael Dunford,"acoustic guitar, backing vocals",
2aa8,John Tout,"keyboards, backing vocals",
2aa8,Jon Camp,"bass, bass pedals, lead (4c) & backing vocals",
2aa8,Terence Sullivan,"drums, percussion, backing vocals",
2aa8,Tony Cox,orchestral arrangements,
2aa8,London Symphony Orchestra,Not specified,
2bc9,Phil Miller,electric & acoustic (6) guitars,
2bc9,Dave Stewart,"Hammond, piano, Fender Rhodes, Hohner Pianet, Minimoog (9), tone generator",
2bc9,Richard Sinclair,"bass, vocals",
2bc9,Pip Pyle,"drums, percussion, Fx (7,9,11)",
2bc9,Jeremy Baines,"pixiephone (5), flute (13?)",
2bc9,Geoff Leigh,"tenor saxophone (5), flute (5,13-uncredited)",
2bc9,Didier Malherbe,tenor saxophone solo (7-uncredited),
2bc9,Robert Wyatt,vocals (4),
2bc9,Cyrille Ayers,vocals (8?),
2bc9,Barbara Gaskin,backing vocals (5),
2bc9,Amanda Parsons,backing vocals (5),
2bc9,Ann Rosenthal,backing vocals (5),
2bc9,Sam Ellidge,voice (7?),
2e74,David Longdon,"lead & backing vocals (1-10), flute (1-8), vibes (1), tambourine (1,2,6- 8,10), banjo & melodica (2), accordion (2,5), keyboards (2,4-6,8,9), electric (4,6) & acoustic (2,4,6) guitars, mandolin (4,6,8), birds & bees sounds (2), whistling (8), glockenspiel & theremin (9), percussion (9)",
2e74,Dave Gregory,"guitar (1-4,6-10), banjo (5), Mellotron (8,10), string arrangements (1,3), voice of The Court Usher (4)",
2e74,Andy Poole,"acoustic guitar (3,4), keyboards (7,8,10), mandolin (5), backing vocals (1-5,7,8), baritone bee sound (2), bass (9,10), bass pedals (9), producer",
2e74,Greg Spawton,"bass (1,3,4,6-8,10), electric (1,5,9,10) & acoustic (3-5) guitars, backing vocals (1-5,7,8), Moog (1), mandolin (2), keyboards (7-10)",
2e74,Nick D'Virgilio,"drums (1-10), backing vocals (4,7,8,10)",
2e74,Daniel Steinhardt,"guitar (3,8)",
2e74,Andy Tillison,"organ (1,4,6,9), piano & Moog (1), keyboards (1,4,6,9)",
2e74,Danny Manners,"piano (3,4,7,8), organ (3), double bass (2,4-7)",
2e74,Dave Desmond,"trombone & brass arrangements (7,8,10)",
2e74,Ben Godfrey,"cornet (7,8), trumpet & piccolo trumpet (8)",
2e74,Jan Jaap Langereis,recorder (7),
2e74,Jonathan Truscott,"tuba (7,8,10)",
2e74,John Storey,"euphonium (7,8)",
2e74,Rich Evans,cornet (10),
2e74,Nick Stones,French horn (10),
2e74,Rachel Hall,"violin (2,4,5,8), string arrangements (5)",
2e74,Sue Bowran,violin (6),
2e74,Eleanor Gilchrist,"violin (1,3)",
2e74,Geraldine Berreen,"violin (1,3,6)",
2e74,Teresa Whipple,"viola (1,3,6)",
2e74,Abigail Trundle,"cello (1,3,5-7)",
2e74,Jon Foyle,cello (10),
2e74,Martin Orford,backing vocals (8),
2e74,Violet Adams,"soprano bee sound (2), backing vocals (5,7,8)",
2e74,Lily Adams,"soprano bee sound (2), backing vocals (5,7,8)",
2e74,Verity Joy,"backing vocals (5,7,8)",
2e74,Louis Philippe,string arrangements (6),
2ed1,Frank Zappa,"guitars, vocals (3), percussion (4), arranger & producer",
2ed1,Janet Neville-Ferguson,"vocals (1,2)",
2ed1,Ilene Rappaport ('Chunky'),vocals (3),
2ed1,Tony Duran,"guitar (1,2) & rhythm guitar (5)",
2ed1,Don Preston,"Minimoog (1,2)",
2ed1,George Duke,"keyboards (3-5), vocals (3)",
2ed1,Sal Marquez,"trumpet & vocals (1,2)",
2ed1,Bill Byers,"trombone (1,2)",
2ed1,Ken Shroyer,"trombone (1,2,3)",
2ed1,Malcolm McNabb,"brass (1,2)",
2ed1,Ernie Tack,"brass (1,2)",
2ed1,Ernie Watts,saxophone solo (3),
2ed1,"Mike Altschul, Joel Peskin, Earl Dumler, Tony Ortega, Joanne Caldwell McNabb, Johnny Rotella, Fred Jackson","woodwinds (1,2)",
2ed1,Alex Dmochowski ('Erroneous'),bass,
2ed1,Aynsley Dunbar,drums,
2ed1,Alan Estes,"percussion (1,2)",
2ed1,Bob Zimmitti,"percussion (1,2)",
2ed1,Lee Clement,gong (4),
337a,Frank Zappa,"guitars, lead (4,6,9) & backing vocals, producer",
337a,George Duke,"keyboards, synthesizers, lead (1,8,9) & backing vocals",
337a,Napoleon Murphy Brock,"flute, tenor saxophone, lead (5,8) & backing vocals",
337a,Tom Fowler,bass,
337a,Chester Thompson,"drums, FX & voices",
337a,Ruth Underwood,"vibes, marimba, percussion",
337a,Captain Beefheart,harmonica (7),
337a,James Youman,bass (2),
337a,"Johnny ""Guitar"" Watson","backing vocals (7,8)",
34a3,Thierry Zaboitzeff,"cello, bass, vocals, keyboards, samplers, percussion",
34a3,Patricia Dallio,"keyboards, samplers",
34a3,G�rard Hourbette,"keyboards, samplers, percussion",
34a3,Daniel Denis,"percussion, keyboards, samplers",
355c,Tony MacAlpine,guitar,
355c,Derek Sherinian keyboards,Not specified,
355c,Virgil Donati,drums,
355c,Tom Kennedy,bass,
355c,"Dick Smothers, Jr.",spoken vocals (5),
358a,James LaBrie,lead vocals,
358a,John Petrucci,"guitars, backing vocals, programming (7), co-producer",
358a,Jordan Rudess,"keyboards, choir arranger & conductor (11)",
358a,John Myung,bass,
358a,Mike Portnoy,"drums, percussion, backing vocals, co-producer",
358a,Theresa Thomason,"additional lead vocals (7,11)",
358a,"Theresa Thomason, Mary Canty, Shelia Slappy, Mary Smith, Jeanette Smith, Clarence Burke Jr, Carol Cyrus, Dale Scott",gospel choir (11),
358a,Terry Brown,"voice of the Hypnotherapist (uncredited), vocals co-production",
358a,David Bottrill,voice of Edward (uncredited),
358a,Trivia: Cast of Characters,"Nicholas, Victoria Page, Senator Edward Baynes (The Miracle), Julian Baynes (The Sleeper) and The Hypnotherapist.",
383d,Peter Hammill,"vocals, guitar, piano",
383d,Hugh Banton,"organs, bass & bass pedals, Mellotron, piano",
383d,David Jackson,"alto, tenor & soprano acoustic & electric saxophones, flute",
383d,Guy Evans,drums & percussion,
38a3,Lars Fredrik Fr�islie,"Ludwig drums, Paiste cymbals, vocals, Hammond C3 with Leslie 147, Mellotron M400, Minimoog Model D, Chamberlin M-1, Hohner Clavinet D6, Yamaha CP70B, William de Blaise spinet, Arp Pro Soloist, Arp Axxe, Solina String Ensemble, Tremoloa, Rhodes mkII, Wurlitzer 200, recorder",
38a3,Nikolai H�ngsle,"bass guitars (Rickenbacker 4003, Fender Precision Bass, Fender Jazz Bass, Fender Telecaster Bass)",
38a3,Ketil Einarsen,"flute, recorder",
38b1,Steve Walsh,"lead & backing vocals, organ, piano, vibes, synths",
38b1,Rich Williams,acoustic & electric guitars,
38b1,Kerry Livgren,"electric guitar, piano, clavinet, Moog, Oberheim & ARP synths",
38b1,Robby Steinhardt,"violin, viola, lead (4,7) & backing vocals",
38b1,Dave Hope,bass,
38b1,Phil Ehart,"drums, percussion",
38b1,"Toye La Rocca, Cheryl Norman",children voices (7),
3de3,Robert Wyatt,"vocals, guitar (2), keyboards, percussion",
3de3,Ivor Cutler,"vocals (3,6), baritone concertina (6)",
3de3,Alfreda Benge,vocals (5),
3de3,Mike Oldfield,guitar (6),
3de3,Mongezi Feza,trumpet (3),
3de3,Gary Windo,alto & bass clarinets (5),
3de3,Fred Frith,viola (6),
3de3,Richard Sinclair,"bass (1,3,6)",
3de3,Hugh Hopper,"bass (2,4,5)",
3de3,Laurie Allan,"drums (2,6)",
3de3,Nick Mason,producer,
416f,Mikael �kerfeldt,"electric & semi-electric guitars, vocals, producer",
416f,Peter Lindgren,guitars,
416f,Martin Mendez,"basses (Fender Precision, Samick 5-string fretless)",
416f,Martin Lopez,drums,
41c1,Steven Wilson,"vocals, electric (3-7,10) & acoustic (2,4-6,8,10) guitars, banjo (7), keyboards, Mellotron M4000, bass (1,2,5-7), hammered dulcimer (9), shaker, Fx, programming, choir (5,10,11) & strings (9,10) arrangements, producing & mixing",
41c1,Leo Blair,vocal solo (5),
41c1,Guthrie Govan,"lead guitar (1,2,5-7,9,10)",
41c1,Dave Gregory,"guitar (2,10) & 12-string guitar (3)",
41c1,Adam Holzman,"piano, Hammond B3, Fender Rhodes, celesta (3,5,9), Wurlitzer (7), Moog solo (7)",
41c1,Theo Travis,baritone saxophone & flute (9),
41c1,Nick Beggs,"bass (3,9), Chapman Stick (4,6,10), backing vocals (2,4-6,9,10)",
41c1,Marco Minnemann,drums,
41c1,Chad Wackerman,drums (10),
41c1,Ninet Tayeb,"backing vocals (3,5,9)",
41c1,Katherine Jenkins,voice (4),
41c1,Dave Stewart,choir (5) & strings (9) arrangements,
41c1,Schola Cantorum of The Cardinal Vaughan Memorial School,"chorus vocals (5,10,11)",
41c1,London Session Orchestra,"strings (9,10)",
4295,Mikael �kerfeldt,"electric & acoustic (6- & 12-string) guitars, vocals, co-producer",
4295,Peter Lindgren,guitars,
4295,Martin Mendez,bass,
4295,Martin Lopez,drums,
4295,Steven Wilson,"lead guitar (2), piano, backing vocals (2-4,6), co-producer",
4295,Markus Lindberg,percussion,
45e3,Greg Lake,"vocals, bass, electric & acoustic guitars, producer",
45e3,Keith Emerson,"Hammond organ, piano, clavinet, Royal Festival Hall pipe organ (4), modular Moog",
45e3,Carl Palmer,"drums, percussion",
46a9,Ian Anderson,"vocals, flute, acoustic guitar, co-producer",
46a9,Martin Barre,"electric guitar, descant recorder",
46a9,John Evan,"piano, organ, Mellotron",
46a9,Jeffrey Hammond,"bass, alto recorder, backing vocals (4)",
46a9,Clive Bunker,"drums, percussion",
46a9,David Palmer,orchestral arranger-conductor,
46a9,Glenn Cornick,bass (uncredited and unknown tracks participation),
4710,Alex Lifeson,"guitars (6- & 12-strings electric & acoustic, classical), bass pedals",
4710,Geddy Lee,"bass, bass pedals, Minimoog, 12-string guitar, vocals",
4710,Neil Peart,"drums, orchestral & tubular bells, wind chimes, vibra-slap, percussion",
4710,Terry Brown,"co-producer, engineer, spoken vocals (6)",
48c2,Annie Haslam,lead & backing vocals,
48c2,Michael Dunford,acoustic guitars,
48c2,John Tout,"keyboards, backing vocals",
48c2,Jon Camp,"bass, co-lead (3) & backing vocals",
48c2,Terence Sullivan,"drums, percussion, backing vocals",
48c2,Andy Powell,guitar solo (6),
48c2,Richard Hewson,"strings arrangements (1,4)",
4963,Peter Gabriel,"lead vocals, flute",
4963,Steve Hackett,electric & acoustic guitars,
4963,Tony Banks,keyboards,
4963,Mike Rutherford,"bass, 12-string guitar",
4963,Phil Collins,"drums, percussion, vibes, backing vocals",
4963,Brian Eno,sound effects,
4963,Graham Bell,backing vocals,
4967,Steve Hillage,"guitars, vocals",
4967,Nick Greenwood,"bass, vocals",
4967,Eric Peachey,drums,
4967,Dave Stewart,"organ, piano, (sky)celesta, marimba",
4b81,Christian Vander,"vocals, drums, percussion",
4b81,Stella Vander,"vocals, percussion",
4b81,Isabelle Feuillebois,vocals,
4b81,Himiko Paganotti,vocals,
4b81,Antoine Paganotti,vocals,
4b81,James Mac Gaw,guitar,
4b81,Emmanuel Borghi,"piano, Fender Rhodes",
4b81,Fr�d�ric d'Oelsnitz,Fender Rhodes,
4b81,Philippe Bussonnet,bass,
4c30,Demetrio Stratos,"lead vocals, organ, steel drums",
4c30,Gianpaolo Tofani,"lead guitar, VCS3 synth",
4c30,Patrizio Fariselli,"piano, electric piano",
4c30,Victor Edouard ('Eddie') Busnello,"saxophone, bass clarinet, flute",
4c30,Patrick Djivas,"bass, double bass",
4c30,Giulio Capiozzo,drums & percussion,
4c30,"Anonymous (""pirate"" recording in Cairo)",Arabic speaking (1),
4eb4,Pye Hastings,"6- & 12-string electric guitars, acoustic guitar, claves,  vocals",
4eb4,David Sinclair,"organ, piano, harpsichord",
4eb4,Richard Sinclair,"bass, tambourine,  vocals",
4eb4,Richard Coughlan,"drums, congas, bongos, maracas, finger cymbals",
4eb4,Jimmy Hastings,"saxophone, flute",
4ff5,Miranda Brand,vocals,
4ff5,Johan Brand,"Mellotrons, Moog Voyager/Minitaur, organs, Fender Rhodes, clavinet, basses, Taurus bass pedals, guitar, percussion, vocals, composer, arranger, producer",
4ff5,Thomas Johnson,"grand piano, Fender Rhodes, Wurlitzer, Pianet, clavinet, organ, Mellotron, Moog Voyager",
4ff5,Erik Hammarstr�m,"drums, snare, vibes, marimba, xylophone, glockenspiel, crotales, timpani, bass drum, wood block, tam tam, tubular bells",
4ff5,Phil Mercy,guitar,
4ff5,Fredrik Lindborg,"bass clarinet, baritone, tenor, alto & soprano saxophones",
4ff5,Karl Olandersson,"trumpet, flugelhorn",
4ff5,Magnus B�ge,concert flute,
4ff5,Matthias B��th,"bass & concert flutes, tenor & alto recorders",
503e,Fish,vocals,
503e,Steve Rothery,guitars,
503e,Mark Kelly,keyboards,
503e,Pete Trewavas,basses,
503e,Ian Mosley,"drums, percussion",
533a,Derek Shulman,"lead (1,2,4-8) & backing vocals, tenor saxophone (2)",
533a,Gary Green,"electric & acoustic (3,4,6) guitars, backing vocals",
533a,Kerry Minnear,"piano, electric piano, Hammond (1,2,4-8), Minimoog (2,4,5,8), Mellotron & marimba (4), clavinet (2,4,6,7), vibes (6), cello (2), lead (2-4) & backing vocals",
533a,Ray Shulman,"bass, acoustic & electric violins, acoustic guitar (6), backing vocals",
533a,John Weathers,"drums, tambourine (2,5,7), sleigh bells (6), cymbals (1), backing vocals",
53f2,Peter Hammill,"vocals, guitars, piano, Hohner clavinet D6",
53f2,Hugh Banton,"organs, bass, bass pedals",
53f2,David Jackson,"saxes, flute",
53f2,Guy Evans,"drums, percussion",
557e,Jon Anderson,lead & backing vocals,
557e,Steve Howe,"electric & acoustic guitars (flamenco on 8), backing vocals",
557e,Rick Wakeman,"Hammond organ, grand piano, RMI Electra-Piano, electric harpsichord, Mellotron, Moog synthesizer",
557e,Chris Squire,"bass, backing vocals, guitar (1)",
557e,Bill Bruford,drums & percussion,
557e,Eddy Offord,"co-producer, engineer",
56e9,Billy Cobham,"percussion, Moog synth drum (4,6b), producer",
56e9,With,Not specified,
56e9,Tommy Bolin,guitar,
56e9,John Tropea,guitar (5b),
56e9,Jan Hammer,"electric & acoustic piano, Moog synthesizer",
56e9,Joe Farrell,"flute (2b), soprano (2b) & alto (5b) saxophones",
56e9,Jimmy Owens,"flugelhorn (2b,5b), trumpet (5b)",
56e9,Lee Sklar,Fender bass,
56e9,Ron Carter,"acoustic bass (2b,5b)",
56e9,Ray Barretto,"congas (2b,5b)",
586f,Frank Zappa,"guitar, octave bass, percussion, arranger & producer",
586f,Captain Beefheart,vocals (2),
586f,Lowell George (uncredited),rhythm guitar,
586f,Ian Underwood,"piano, organ, flutes, clarinets, saxes",
586f,Don 'Sugarcane' Harris,"electric violin (2,5)",
586f,Jean-Luc Ponty,electric violin (6),
586f,Max Bennett,bass,
586f,Shuggy Otis,bass (1),
586f,Ron Selico,drums (1),
586f,John Guerin,"drums (2,4,6)",
586f,Paul Humphrey,"drums (3,5)",
588a,Geoff Tate,"vocals, keyboards, whistles",
588a,Chris DeGarmo,"guitars (electric, acoustic, lap steel & GK1 synth), backing vocals",
588a,Michael Wilton,"guitars (electric, 6- & 12-string acoustic, Stereo Ripley), backing vocals",
588a,Eddie Jackson,"bass, backing vocals",
588a,Scott Rockenfield,"drums, percussion, keyboards (10)",
588a,Michael Kamen,"orchestral arrangements, cello & choir direction",
588a,"""The Moronic Monks of Morin Heights""",chorus vocals (The Gang),
588a,"""Snakemeister""",choir conductor,
588a,Anthony Valentine,voice (Dr. X),
588a,Debbie Wheeler,voice (Nurse),
588a,Mike Snyder,voice (News Anchorman),
588a,Pamela Moore,voice (Sister Mary),
588a,Scott Mateer,voice (Preacher),
5aa1,David Gilmour,"guitars, bass (1), harmonica (5), lead (2,3,5,6) & harmony (3) vocals",
5aa1,Richard Wright,"Hammond, Farfisa, piano, lead vocals (6)",
5aa1,Roger Waters,"bass, acoustic guitar (4), lead vocals (4)",
5aa1,Nick Mason,"drums & percussion, voice (1)",
6307,Thijs van Leer,"vocals, organ, piano & electric piano, flute & alto-flute, ARP synthesiser, harpsichord, recorder, Mellotron, vibes, accordion, organ (St. Mary the Virgin - Barnes), handclaps & whistling",
6307,Jan Akkerman,"guitars, lute, timpani, handclaps",
6307,Bert Ruiter,"bass, autoharp, triangles, Chinese finger cymbals, swiss bells",
6307,Colin Allen,"drums, congas, tambourine, castanets, cabasa, woodblock, Chinese gong, timpani, flexatone, cu�ca",
6354,Radim Hlad�k,acoustic & electric guitars,
6354,Oldřich Vesel�,"acoustic & electric pianos, organ, ARP & string synths, vocals",
6354,Fedor Freso,"bass, bass mandolin, percussion, vocals",
6354,Vlado Čech,"drums, percussion",
6366,Peter Hammill,"lead vocals, acoustic & slide guitars, piano, electric pianos",
6366,Hugh Banton,"Hammond (E & C) & Farfisa Professional organs, piano, Mellotron, bass & bass pedals, ARP synthesizer, Fx, backing vocals",
6366,David Jackson,"tenor, alto & soprano saxophones, flute, Fx, backing vocals",
6366,Guy Evans,"drums, timpani, percussion, piano",
6366,Robert Fripp,electric guitar,
63b1,Peter Gabriel,"lead vocals, percussion, flute, oboe",
63b1,Steve Hackett,"electric guitar, nylon acoustic guitar",
63b1,Tony Banks,"keyboards (piano, Hammond, Mellotron, ARP Pro Soloist synth), 12-string guitar",
63b1,Mike Rutherford,"bass, 12-string guitar, electric sitar",
63b1,Phil Collins,"drums, percussion, lead (4) & backing vocals",
643a,David Gilmour,"guitars, lead vocals (2,4,6,7), VCS3",
643a,Richard Wright,"keyboards, lead vocals (4,7), VCS3 (8,9) & Synthi A (3,4)",
643a,Roger Waters,"bass, lead vocals (9,10), VCS3, tape effects",
643a,Nick Mason,"drums, percussion, tape effects",
643a,Dick Parry,"saxophone (6,7)",
643a,Clare Torry,lead vocals (5),
643a,Lesley Duncan,backing vocals,
643a,Liza Strike,backing vocals,
643a,Barry St. John,backing vocals,
643a,Doris Troy,backing vocals,
64fb,Peter Hammill,"vocals, acoustic & electric guitars, bass (1,2,6), pianos, Mellotron, Fx (oscillator), harmonium, co-producer",
64fb,Randy California,lead guitar (5),
64fb,Hugh Banton,"organ, bass &  bass pedals (3,4,7), backing vocals (4)",
64fb,David Jackson,"alto, tenor & soprano saxophones, flute",
64fb,Guy Evans,"percussion, drums",
668d,Fish,vocals,
668d,Steve Rothery,acoustic & electric guitars,
668d,Mark Kelly,"piano, harpsichord, Korg CX-3 organ, synths (Minimoog, Roland Jupiter-8, PPG Wave, Sequential Pro-One, Yamaha CS15)",
