pa_album_id,raw_musician_name,raw_instruments_roles,is_guest
668d,Pete Trewavas,Rickenbacker bass & Fender fretless bass,
668d,Mick Pointer,"drums, percussion",
668d,Pete James (Abbey Road),sound effects,
668d,Peter Cockburn,newscaster's voice (6),
668d,The Marquee Club parents association Children's Choir,backing vocals (6),
69a0,John McLaughlin,guitars,
69a0,Jan Hammer,"piano, Fender Rhodes, Moog",
69a0,Jerry Goodman,violin,
69a0,Rick Laird,bass,
69a0,Billy Cobham,"drums, cymbals, percussion",
6aa9,Hermann Szobel,piano,
6aa9,Michael Visceglia,bass,
6aa9,Bob Goldman,drums,
6aa9,Dave Samuels,"percussion, marimba, vibraphone",
6aa9,Vadim Vyadro,"tenor saxophone, clarinet, flute",
6e0a,Derek Shulman,"lead vocals (1-4,8), alto saxophone (5)",
6e0a,Gary Green,"guitars, percussion",
6e0a,Kerry Minnear,"piano, electric piano, Hammond (1-5,7,8), MiniMoog (1,3,5,8), Mellotron (2,7,8), clavinet (1), harpsichord (4),  vibraphone (4,8), regal, cello (2,6), percussion, lead (1,4,7) & backing vocals",
6e0a,Philip Shulman,"tenor saxophone (4,5), trumpet (1,2), Mellophone (7), lead (1,4,6,8) & backing vocals",
6e0a,Raymond Shulman,"bass, violin, electric violin, viola & acoustic guitar (6), percussion, backing vocals",
6e0a,John Weathers,"drums, bongos (3,8), varispeed cymbal (4,8), xylophone (4,6)",
6e0a,Martin Rushent,variable speed oscillator,
6e0a,"Mike ""Viccars"" Vickers",Moog operator,
73d5,Derek Shulman,"lead (1-4,7) vocals, treble recorder (6), alto saxophone (1)",
73d5,Gary Green,"electric & acoustic (5,7) guitars, descant recorder (2,6), co-lead vocals (2)",
73d5,Kerry Minnear,"piano, honky-tonk piano (7), Wurlitzer electric piano (3,4), Hammond, clavinet (3,5-7), Minimoog (1,2,4), synthesizer (1,3,6), harpsichord (2,6), celesta & glockenspiel (2), vibes (1,2,5), marimba & timpani (2), harp & cello (2), tenor recorder (6), lead vocals (2-5)",
73d5,Ray Shulman,"bass, violin & electric violin (7), viola (2), co-lead vocals (2)",
73d5,John Weathers,drums & percussion,
7514,Tracks 1-8:,Not specified,
7514,Jane Duboc,"vocals (2,4,6,8)",
7514,M�rio Neto,"acoustic & electric guitars, producer & mixing",
7514,Sergio Villarim,keyboards,
7514,Marcus Moura,"flutes, accordion",
7514,Delto Simas,acoustic & electric basses,
7514,Marco Ver�ssimo,drums,
7514,Mr. Paul,percussion,
7514,Track 9:,Not specified,
7514,M�rio Neto,"all instruments (guitars, keyboards, bass, electronic drums)",
77cf,Andreas Wettergreen Str�mman Prestmo,"vocals, electric & acoustic guitars, glockenspiel, percussion, brass bell, children's toy (?)",
77cf,Marius Halleland,"6- & 12-string acoustic & electric guitars, backing vocals",
77cf,Lars Fredrik Fr�islie,"Hammond C3, Mellotron, Minimoog Model D, Chamberlin, Hohner clavinet, Rhodes MKII, spinet, ARP Axxe/Pro Soloist, Solina String Ensemble, Optigan, Wurlitzer 200, Marxophone, grand piano, backing vocals",
77cf,Kristian Karl Hultgren,"bass, bass pedals, woodwinds",
77cf,Martin Nordrum Kneppen,"drums, woodwinds",
77cf,Ketil Vestrum Einarsen,"flute (1,4)",
77cf,Renato Manzi,old man's voice (3),
77cf,�ystein Bech Gadmar,crumhorn (4),
8253,Steven Wilson,"vocals, guitar, piano, keyboards, string arrangements, mixing",
8253,Richard Barbieri,"keyboards, synthesizers",
8253,Colin Edwin,bass,
8253,Gavin Harrison,drums & percussion,
8253,Alex Lifeson,guitar solo (3),
8253,Robert Fripp,soundscapes (5),
8253,John Wesley,backing vocals,
8253,Dave Stewart,string arrangements & orchestration,
8253,London Session Orchestra,strings,
8253,Gavyn Wright,orchestra leader,
8541,Chris Farlowe,vocals,
8541,Dave Greenslade,"organ, vibraphone",
8541,Mark Clarke,"bass, vocals",
8541,"Dave ""Clem"" Clempson","guitar, vocals",
8541,Dick Heckstall-Smith,soprano & tenor saxophones,
8541,Jon Hiseman,"drums, producer",
8562,Francesco Di Giacomo,lead vocals,
8562,Marcello Todaro,electric & acoustic guitars,
8562,Gianni Nocenzi,electric & acoustic pianos,
8562,Vittorio Nocenzi,"organ, spinet, synths",
8562,Renato D'Angelo,"bass, acoustic guitar",
8562,Pier Luigi Calderoni,"drums, percussion",
8562,Rodolfo Maltese,acoustic & electric guitars,
8562,Silvana Aliotta,percussion,
8562,Bruno Perosa,percussion,
86af,Alex Lifeson,"guitars (6- & 12-string electric & acoustic, classical, Roland synth), bass pedals",
86af,Geddy Lee,"basses, Taurus bass pedals, Minimoog, Oberheim Polyphonic synth, vocals",
86af,Neil Peart,"drums, orchestra bells, wind chimes, timpani, gong, crotales, percussion",
86af,Terry Brown,co-arranger & co-producer,
8776,Andy Latimer,"electric, acoustic & slide guitars, flute, wordless vocals (8,11)",
8776,Peter Bardens,"organ & pipe organ, Minimoog & ARP Odyssey synths, acoustic & electric pianos",
8776,Doug Ferguson,"bass, duffle coat (13) $",
8776,Andy Ward,"drums, Varispeed percussion, vibes",
8776,David Bedford,orchestral arranger & conductor,
8776,The London Symphony Orchestra,Not specified,
8776,"$ Doug's duffle coat, mentioned in the credits, was used by Andy Latimer and Doug Ferguson on ""Epitaph"" to simulate a flapping of wings by waving it.",Not specified,
8dcb,Aldo Tagliapietra,"vocals, bass, guitar",
8dcb,Antonio Pagliuca,keyboards,
8dcb,Michi Dei Rossi,"drums, percussion",
94e9,Gary Green,"12-string (1,5,6), steel (6) & electric guitars, mandolin & tambourine (6), recorder (3)",
94e9,Kerry Minnear,"piano, electric piano, Moog (1,3,6), Hammond (1,3,4,6), clavinet (1,4,6), thomas organ (3,4), clavichord (4), celesta (2), glockenspiel (1,2,4), marimba (1,2), vibes & timpani (2), cello (5), descant recorder (1,3), lead (1,3-6) & backing vocals",
94e9,Derek Shulman,"alto & soprano saxophones (6), descant recorder (1), lead (1-4,6) & backing vocals",
94e9,Ray Shulman,"bass, acoustic & electric violins, tambourine (4), acoustic guitar & backing vocals (1,6)",
94e9,John Weathers,"drums, bass drum (5), cowbell (6)",
961b,Andy Latimer,"guitars, flute, recorders, vocals (2,5,6,10)",
961b,Peter Bardens,"keyboards, vocals (4)",
961b,Doug Ferguson,"bass, lead vocals (2,10)",
961b,Andy Ward,"drums, percussion, spoken voice (1)",
974c,Eric Stewart,"lead electric & slide guitars,  Moog synthesizer, vocals",
974c,Lol Creme,"electric & acoustic guitars,  grand piano, Moog, Mellotron, percussion, vocals",
974c,Graham Gouldman,"bass, acoustic & electric guitars, dobro, tambourine, vocals",
974c,Kevin Godley,"drums, percussion, vocals",
9b25,Richard Davies,"lead & backing vocals, keyboards, harmonica",
9b25,Roger Hodgson,"lead & backing vocals, guitar, pianos",
9b25,John Anthony Helliwell,"saxophones, clarinets, backing vocals",
9b25,Dougie Thomson,bass,
9b25,Bob Siebenberg,"drums, percussion",
9b25,Christine Helliwell,backing vocals (3),
9b25,Scott Gorham,backing vocals (3),
9b25,Vicky Siebenberg,backing vocals (3),
9b25,Anonymous street musician,saw (3),
9b25,Ken Scott,water gong (8),
9b25,Richard Hewson,string arrangements,
9ddd,Peter Hammill,"lead vocals, acoustic guitar, piano (2)",
9ddd,Hugh Banton,"Hammond & Farfisa organs, piano, oscillator, bass (2,5), vocals",
9ddd,David Jackson,"alto, tenor & baritone saxes, flute, Fx, vocals",
9ddd,Guy Evans,"drums, timpani, percussion",
9ddd,Nic Potter,"bass (1,3,4)",
9ddd,Robert Fripp,electric guitar (3),
a02d,Ian Anderson,"vocals, flute, acoustic guitar, violin, saxophone, trumpet",
a02d,Martin Barre,"electric guitar, lute",
a02d,John Evan,"Hammond organ, piano, harpsichord",
a02d,Jeffrey Hammond,"bass, spoken word",
a02d,Barriemore Barlow,"drums, timpani, percussion",
a02d,David Palmer,strings arrangements & conducting,
a125,Jonas Engdeg�rd,guitars,
a125,Thomas Johnson,"pianos, Mellotrons, synthesizers",
a125,Anna Holmgren,"concert flute, tenor saxophone",
a125,Johan Brand,"bass, Taurus bass pedals",
a125,Mattias Olsson,"drums, percussion, effects",
a125,Daniel Borgeg�rd �lg�,"clarinet, bass clarinet, baritone saxophone",
a125,Ulf �kerstedt,"bass tuba, bass & contrabass trumpets",
a125,Tove T�rnberg,cello,
a50e,Andreas Wettergreen Str�mman Prestmo,"vocals, guitars",
a50e,Marius Halleland,"guitars, backing vocals",
a50e,Lars Fredrik Fr�islie,keyboards,
a50e,Kristian Karl Hultgren,bass,
a50e,Martin Nordrum Kneppen,drums,
aa1b,Paule Kleynnaert,"vocals, synth",
aa1b,Amara Tahir,vocals,
aa1b,Alain Bl�sing,guitar (1-4),
aa1b,Gilles Rozenberg,"organ, synth",
aa1b,Marc Rozenberg,"Fender electric piano, synth",
aa1b,Eric Guillaume,Fender electric piano (1-4),
aa1b,Andr� Bernardi,bass,
aa1b,G�rard Konig,"drums, flute (7)",
adc1,Sally Oldfield,"vocals, ?",
adc1,Note : The actual instrumentation could not be fully confirmed at this moment,Not specified,
b27c,Tord Lindman,"electric and nylon & steel acoustic guitars, vocals",
b27c,Jonas Engdeg�rd,electric and nylon & steel acoustic guitars,
b27c,Thomas Johnson,"Mellotron, Hammond (B-3 & L-100), synths (Solina, Korg), clavinet, pianet, piano, electronic church organ",
b27c,Anna Holmgren,flute,
b27c,Johan H�gberg,"bass, bass pedals, Mellotron (effects)",
b27c,Mattias Olsson,"drums, concert bass drum, tambourine, vibraslap, po-chung, gong, glockenspiel, tubular bells, bongos, Tibetan finger cymbals, wind chimes, a-gogo, cabasa, African drums, effect-flute, varied bells and percussions",
b27c,P�r Lindh,performer (unconfirmed),
b6ed,Frank Zappa,"composer, arranger, conductor & producer",
b6ed,Tommy Tedesco,guitar,
b6ed,Al Viola,guitar,
b6ed,Dennis Budimir,guitar,
b6ed,Tony Rizzi,guitar,
b6ed,"Jimmy ""Senyah"" Haynes",guitar,
b6ed,Lincoln Mayorga,"piano, celesta, harpsichord",
b6ed,Pete Jolly,"piano, celesta, electric harpsichord",
b6ed,Paul Smith,"piano, celesta, electric harpsichord",
b6ed,Michael Lang,"piano, celesta, electric harpsichord",
b6ed,John Rotella,"woodwind, percussion",
b6ed,Arthur Maebe,French horn,
b6ed,Richard Parissi,French horn,
b6ed,Jimmy Zito,trumpet,
b6ed,Kenny Shroyer,trombone,
b6ed,Roy Estrada,"bass, chorus",
b6ed,Bob West,bass,
b6ed,Chuck Berghofer,bass,
b6ed,Jimmy Bond,bass,
b6ed,Shelly Manne,drums,
b6ed,Frank Capp,drums,
b6ed,John Guerin,drums,
b6ed,Alan Estes,percussion,
b6ed,Victor Feldman,percussion,
b6ed,Gene Estes,percussion,
b6ed,Emil Richards,percussion,
b6ed,"""Abnuceals Emuukha Electric Symphony Orchestra""","contracted strings, woodwinds & chorus",
b6ed,"Percussion includes: gongs, bells, vibes, marimba, timpani, timbales & assorted insanity.",Not specified,
b6ed,"Woodwinds include: flute, bass flute, piccolo, oboe, English horn, Eb clarinet, Bb clarinet, bass clarinet, contrabass clarinet, alto saxophone, bass saxophone, bassoon & contrabassoon.",Not specified,
b9d0,David Gilmour,"guitar, lap steel guitar, Synthi AKS, tape effects, lead vocals (2,4)",
b9d0,Richard Wright,"keyboards, VCS3, clavinet, backing vocals",
b9d0,Roger Waters,"bass, guitar, VCS3, tape effects, lead vocals (1,5)",
b9d0,Nick Mason,"drums, percussion, tape effects",
b9d0,Dick Parry,saxophone (1),
b9d0,Stephane Grappelli,violin (4),
b9d0,Roy Harper,lead vocals (3),
b9d0,Carlena Williams,"backing vocals  (1,5?)",
b9d0,Venetta Fields,"backing vocals (1,5?)",
bd5f,Miles Davis,trumpet,
bd5f,Wayne Shorter,soprano saxophone,
bd5f,Bennie Maupin,"bass clarinet (2,4)",
bd5f,John McLaughlin,guitar,
bd5f,Chick Corea,electric piano,
bd5f,Joe Zawinul,electric piano,
bd5f,Larry Young,"electric piano (1,3)",
bd5f,Dave Holland,"acoustic bass, electric bass (7)",
bd5f,Harvey Brooks,"electric bass (1-3,5)",
bd5f,Jack DeJohnette,drums,
bd5f,Lenny White,drums (1-4),
bd5f,Don Alias,"drums (5), congas (2,4), percussion (1,3,6)",
bd5f,Billy Cobham,drums (7),
bd5f,Airto Moreira,percussion (7),
bd5f,Jumma Santos (Jim Riley),"congas (2,4-6), shaker (1-4,6)",
c192,Chuck Schuldiner,"vocals, guitar, bass & drum programming (14), co-producer",
c192,Bobby Koelble,guitar,
c192,Kelly Conlon,bass,
c192,Gene Hoglan,"drums, percussion, drum programming (10-13)",
c192,Steve DiGiorgio,bass (10-13),
c1ca,Phil Miller,guitar,
c1ca,Dave Stewart,"acoustic & electric pianos, organ, Minimoog (3,4)",
c1ca,John Greaves,"bass, piano innards (3), crooning (5)",
c1ca,Pip Pyle,"drums, percussion & hand claps (3)",
c1ca,Jimmy Hastings,"clarinets (3,5), flute (5)",
c1ca,Phil Minton,"trumpets (1,5,7)",
c1ca,Paul Nieman,"trombones (1,5,7)",
c1ca,Keith Thompson,"oboe (3,5)",
c1ca,Georgie Born,"cello (1,3,7)",
c1ca,Rick Biddulph,bass (4),
c1ca,Selwyn Baptiste,steel drums (2),
c1ca,Peter Blegvad,voice (3),
c563,Robert Fripp,"guitar, Mellotron, electronic devices",
c563,David Cross,"violin, viola, Mellotron, electric piano, flute (3)",
c563,John Wetton,"bass, piano (3), vocals",
c563,Bill Bruford,"drums, percussion",
c563,Jamie Muir,"percussion, drums",
c68c,Daniel Gildenl�w,"guitars, lead vocals, co-producer",
c68c,Johan Hallgren,"guitars, backing vocals",
c68c,Fredrik Hermansson,keyboards,
c68c,Kristoffer Gildenl�w,"bass, backing vocals",
c68c,Johan Langell,"drums, backing vocals",
c846,Daevid Allen,"vocals, guitar",
c846,Gilli Smyth,vocals,
c846,Steve Hillage,lead guitar,
c846,Tim Blake,"Moog & EMS synths, Mellotron,  vocals",
c846,Didier Malherbe,"saxes, flute, vocals",
c846,Mike Howlett,bass,
c846,Pierre Moerlen,"drums, percussion",
c846,Beno�t Moerlen,percussion,
c846,Mireille Bauer,percussion,
c846,Miquette Giraudy,backing vocals,
c8a1,Gary Green,"6- & 12-string (1) electric guitars, 12-string wah-wah guitar (7), mandolin & bass (3), donkey's jawbone & cat calls (7), voice (8)",
c8a1,Kerry Minnear,"piano & electric piano, Hammond organ (1-3), Mellotron (1,5,6), vibraphone (1,7), xylophone (2,3), Minimoog (1-5), celesta (3), clavichord (3), harpsichord (2,5,6), timpani (2), maracas & tambourine (7), cello (2,3,7), string quartet arrangement (7), lead (1,2) & backing vocals",
c8a1,Derek Shulman,"alto saxophone (1,6), clavichord & cowbell (3), lead (3,5,6) & backing vocals",
c8a1,Phil Shulman,"alto (6) & tenor (1,6) saxophones, clarinet (2,3), trumpet (1,3), piano (3), claves, maracas, lead (5,7) & backing vocals",
c8a1,Ray Shulman,"bass, violin & electric (8) violin, viola (7), Spanish (2,3) & 12-string (6) guitars, organ bass pedals (6), tambourine, skulls, backing vocals",
c8a1,Martin Smith,"drums, tambourine (1), gong & side drum (2)",
c8a1,Tony Visconti,"tenor, treble & descant recorders (3,5), bass drum & triangle (7), producer",
c8a1,Paul Cosh,trumpet & organ (3),
c8a1,Chris Thomas,Moog programmer (1-5),
cd3f,Miles Davis,trumpet,
cd3f,Wayne Shorter,tenor saxophone,
cd3f,John McLaughlin,electric guitar,
cd3f,Herbie Hancock,electric piano,
cd3f,Chick Corea,electric piano,
cd3f,Joe Zawinul,"organ, electric piano",
cd3f,Dave Holland,double bass,
cd3f,Tony Williams,drums,
ce62,Jean-Luc Ponty,"4- & 5-string electric violins, violectra, piano (5), bells, conductor & orchestrations, producer",
ce62,Allan Holdsworth,lead electric guitar,
ce62,Daryl Stuermer,lead & rhythm electric guitars,
ce62,Allan Zavod,"clavinet, piano, electric piano, synthesizer, organ",
ce62,Ralphe Armstrong,bass and fretless bass (5),
ce62,Steve Smith,"drums, percussion",
cec9,Jon Anderson,"lead vocals, percussion",
cec9,Steve Howe,"acoustic & electric guitars, Portuguese 12-string guitar (4), vocals",
cec9,Tony Kaye,"Hammond organ, piano, Moog synthesizer",
cec9,Chris Squire,"bass, vocals",
cec9,Bill Bruford,drums & percussion,
cec9,Colin Goldring,"recorders (4,7)",
cec9,Eddie Offord,co-production & engineering,
d018,Eric Stewart,"lead electric & steel (1,3) guitars, piano (3,4,6), electric piano (2,4,6), organ (4,8), vocals (2,4-6 lead), mixing",
d018,Lol Creme,"electric & acoustic (6) guitars, piano (1,2,4-8), organ (3), violin & Moog & Fx (5), autharp (6), electric piano (7), vibes (1), percussion (1,4,7,8), mandolin (8), vocals (7-lead)",
d018,Graham Gouldman,"4- & 6-string (6) basses, double bass (5), acoustic (6,7) & electric guitars, autoharp (6), mandolin (8), percussion (1), vocals (8-lead)",
d018,Kevin Godley,"drums & percussion, timpani (1,5), Moog (2), marimba & bass drum & cello (5), timbales (7), bongos (8), vocals (5-lead)",
d61c,Phil Collins,"lead & backing vocals, drums, percussion",
d61c,Steve Hackett,electric & 12-string guitars,
d61c,Tony Banks,"RMI Electra-Piano, ARP Pro Soloist synth, Hammond organ, Mellotron, Echoplex, Leslie cabinet, 12-string guitar, backing vocals",
d61c,Mike Rutherford,"bass, bass pedals, 12-string guitar",
d61c,Bill Bruford,drums & percussion (DVD 13-19),
d61c,Bruce Gowers,film director (DVD 9-11),
d61c,Mike Kaufman,film director (DVD 12),
d61c,Tony Maylam,film director (DVD 13-19),
d708,Peter Gabriel,"lead vocals, flute, tambourine, bass drum",
d708,Steve Hackett,electric and 12-string guitars,
d708,Tony Banks,"organ, Mellotron, piano & electric piano, 12-string guitar, backing vocals",
d708,Mike Rutherford,"bass, bass pedals, 12-string guitar, backing vocals",
d708,Phil Collins,"drums, percussion, lead (2) & backing vocals",
d889,Francesco Di Giacomo,lead vocals,
d889,Marcello Todaro,electric & acoustic guitars,
d889,Vittorio Nocenzi,"Hammond organ, Moog synthesizers, harpsichord, vocals",
d889,Gianni Nocenzi,"piano, E-flat clarinet",
d889,Renato D'Angelo,"bass, double bass",
d889,Pier Luigi Calderoni,"drums, timpani",
dfe8,Robert Fripp,"guitars, Mellotron",
dfe8,John Wetton,"bass, vocals",
dfe8,Bill Bruford,drums & percussion,
dfe8,David Cross,"violin (4,Video1-4), Mellotron (Video1-4)",
dfe8,Mark Charig,"cornet (2), double bass (1)",
dfe8,Mel Collins,soprano saxophone (5),
dfe8,Ian McDonald,"alto saxophone (3,5)",
dfe8,Robin Miller,oboe (2),
e0f7,Steven Wilson,"vocals, acoustic & electric guitars, banjo, piano, producer",
e0f7,Richard Barbieri,"keyboards (analog synths, Mellotron, Hammond)",
e0f7,Colin Edwin,bass,
e0f7,Gavin Harrison,drums & percussion,
e0f7,Elijah Hibit,rhythm guitar (?),
e0f7,John Wesley,"backing vocals (1,4,7), guitar (1)",
e0f7,Aviv Geffen,"backing vocals (4,7)",
e0f7,Dave Gregory,"string arrangements (8,12)",
e0f7,London Session Orchestra,"violins, violas, cellos & double basses (8,12)",
e0f7,Gavyn Wright,"violin, orchestra leader",
e3e5,Original recordings (1-8) & bonus track (10):,Not specified,
e3e5,Steve Hackett,"electric & acoustic guitar, Mellotron, harmonium, bells, autoharp, vocals (5), effects, arrangements & co-producer",
e3e5,Sally Oldfield,"vocals (8,10)",
e3e5,John Acock,"Elka Rhapsody synthesizer, Mellotron, harmonium, piano, co-producer",
e3e5,Mike Rutherford,"bass & bass pedals, fuzz 12-string guitar",
e3e5,Percy Jones,bass (3),
e3e5,Johnny Gustafson,bass (6),
e3e5,Phil Collins,"drums, vibes, percussion, vocals (6)",
e3e5,John Hackett,"flute, ARP synthesizer, bells",
e3e5,Robin Miller,"oboe (6), cor anglais (5)",
e3e5,Nigel Warren-Green,cello (5),
e3e5,Live bonus track (9):,Not specified,
e3e5,Steve Hackett,guitar,
e3e5,Pete Hicks,vocals,
e3e5,Nick Magnus,keyboards,
e3e5,Dik Cadbury,bass,
e3e5,John Shearer,drums,
e3e5,John Hackett,flute,
e641,Mike Oldfield,"acoustic, classical, 12-string & electric guitars, acoustic & electric basses, mandolin, harp, bouzouki, banjo, grand piano, spinet, Farfisa organ, ARP 2600 & Solina synths, bodhr�n, glockenspiel, accordion (6), assorted percussion (marimba, gong, tubular bells), producer",
e641,Paddy Moloney,uilleann pipes,
e641,Terry Oldfield,panpipes,
e641,Don Blakeson,trumpet,
e641,The Hereford City Band,brass ensemble,
e641,Leslie Penning,"recorders, conductor (brass ensemble)",
e641,David Strange,cello,
e641,Pierre Moerlen,timpani,
e641,William Murray,percussion,
e641,"Jabula ensemble (Julian Bahula, Ernest Mothle, Lucky Ranku, Eddie Tatane)",African drums,
e641,Sally Oldfield,vocals,
e641,Bridget St. John,vocals,
e641,Clodagh Simonds,vocals,
e641,"Penrhos kids (Jason, Abigail, Ivan and Briony Griffiths)",vocals (1 - On Horseback section),
e6f7,Chick Corea,"Yamaha organ, piano, Fender Rhodes, Hohner clavinet, Polymoog, Minimoog, Moog 15, Micromoog, ARP Odyssey, marimba, percussion, producer",
e6f7,Al DiMeola,"guitars (electric, acoustic & soprano), percussion",
e6f7,Stanley Clarke,"basses (Alembic, acoustic & piccolo), percussion",
e6f7,Lenny White,"drums, congas, cymbals, timbales, timpani, hand bells, snare drum",
ebbb,Jon Anderson,lead vocals,
ebbb,Steve Howe,"guitars (12-string, electric, acoustic, Portuguese, console steel), electric sitar, vocals",
ebbb,Rick Wakeman,"Hammond, Mellotron, Minimoog, grand piano, RMI Electra-Piano, electric harpsichord, pipe organ at St Giles-without-Cripplegate church in London (1)",
ebbb,Chris Squire,"bass, vocals",
ebbb,Bill Bruford,drums & percussion,
ed51,Al DiMeola,"electric 6- & 12-string and acoustic guitars, ARP synthesizer (2), ARP String Ensemble & piano (6), castanets & maracas (2), timbales (4), producer & arranger",
ed51,Paco De Lucia,acoustic guitar (3-second solo),
ed51,Jan Hammer,"electric piano & Mini Moog (1,6)",
ed51,Barry Miles,"electric & acoustic pianos, Mini Moog (4)",
ed51,Anthony Jackson,bass guitar,
ed51,Steve Gadd,"drums (1,6)",
ed51,Lenny White,"drums (2,4), timbales (2)",
ed51,Mingo Lewis,"percussions, congas (2,4,6), shakers, timbales, cowbell, organ & background synthesizers (1), ARP Odyssey & ARP sequencer (1)",
ee53,James LaBrie,lead & backing vocals,
ee53,John Petruci,guitars,
ee53,Kevin Moore,keyboards,
ee53,John Myung,bass,
ee53,Mike Portnoy,"drums, percussion",
ee53,Jay Beckenstein,soprano saxophone (2),
ef2d,Herbie Flowers,"basses, tuba",
ef2d,Tristan Fry,"drums, percussion",
ef2d,Steve Gray,keyboards,
ef2d,Kevin Peek,guitars,
ef2d,+ The Academy of St.Martin-in-the-Fields,Not specified,
f180,Greg Lake,"lead vocals, bass",
f180,Robert Fripp,guitars,
f180,Ian McDonald,"sax, flute, clarinets, vibes, harpsichord, piano, organ, Mellotron, backing vocals",
f180,Michael Giles,"drums, percussion, backing vocals",
f180,Peter Sinfield,lyrics and illumination,
f180,Jakko Jakszyk,"guitar, vocal and keyboard overdubs (C1)",
f180,Mel Collins,saxophone overdubs (C1),
f590,Jon Anderson,lead vocals,
f590,Steve Howe,"acoustic & electric guitars, pedal steel guitar, electric sitar, vocals",
f590,Patrick Moraz,"keyboards (piano, Hammond, Vako Orchestron synth, Moog)",
f590,Chris Squire,"bass, vocals",
f590,Alan White,drums & percussion,
f590,Eddy Offord,"co-producer, engineer",
fcf0,Peter Nicholls,lead & backing vocals,
fcf0,Michael Holmes,guitars,
fcf0,Tim Esau,"bass, bass pedals",
fcf0,Paul Cook,"drums, percussion",
fcf0,Neil Durant,keyboards,
ff06,Franco Mussida,"electric, acoustic & 12-string guitars, mandocello, lead vocals",
ff06,Flavio Premoli,"organ, pianos (piano a puntine?), Mellotron, harpsichord, MiniMoog, lead vocals",
ff06,Mauro Pagani,"flute, piccolo, violin, vocals",
ff06,Giorgio Piazza,"bass, vocals",
ff06,Franz Di Cioccio,"drums, percussion, Moog, vocals",
ff06,Claudio Fabi,co-arranger & co-producer,
ffdb,Alex Lifeson,"6- & 12-string electric & acoustic guitars, Taurus bass pedals",
ffdb,Geddy Lee,"basses, bass pedals, synthesizers (Oberheim Polyphonic, OB-1, Minimoog), vocals",
ffdb,Neil Peart,"drums, timpani, orchestral & tubular bells, timbales, wind chimes, crotales, triangle",
ffdb,Hugh Syme,piano (5),
ffdb,Erwig Chuapchuaduah,steel drums (1),
ffdb,Terry Brown,"mixing, co-arranger & co-producer",
