Normalized Form,Variant,Count
progressive metal,Prog-metal,2706
progressive metal,Progressive Metal,35
progressive metal,Progressive Metalcore,1
progressive metal,Progressive Jazz Metal,1
progressive metal,Prog-Metal,2
progressive metal,Prog Metal,2
progressive metal,Progressive metal,2
progressive metal,prog-metal,2
progressive metal,Prog metal,1
crossover prog,Crossover Prog,19
crossover prog,Crossover prog,1
power metal,Power metal,250
power metal,Power Metal,7
djent,Djent,293
djent,djent,8
jazz fusion,Jazz Fusion,152
jazz fusion,Jazz fusion,7
jazz fusion,jazz fusion,2
experimental,Experimental,166
experimental,Experimental metal,10
experimental,Experimental Pop,17
experimental,Experimental pop,1
experimental,experimental,1
alt-metal,Alt-metal,207
alt-metal,Alt-Metal,1
post-hardcore,Post-hardcore,50
post-hardcore,Post-Hardcore,347
post-hardcore,post-hardcore,2
symphonic,Symphonic,143
symphonic,Sympohnic,1
symphonic,symphonic,2
technical death metal,Technical Death metal,385
technical death metal,Technical death metal,3
technical death metal,technical death metal,1
technical death metal,Technical Death Metal,15
post-metal,Post-metal,760
post-metal,Proto-metal,2
post-metal,Post-Metal,21
post-metal,Post Metal,2
post-metal,Post-metalâ€Ž,1
post-metal,Post metal,1
sludge metal,Sludge metal,682
sludge metal,Sludge Metal,12
metalcore,Metalcore,455
metalcore,Metal-core,2
metalcore,metalcore,4
groove metal,Groove metal,55
groove metal,groove metal,1
death metal,Death metal,811
death metal,Death Metal,21
death metal,death metal,3
death metal,Math metal,8
doom metal,Doom metal,840
doom metal,Doom Metal,21
folk metal,Folk metal,86
folk metal,Folk Metal,1
melodic death metal,Melodic Death metal,373
melodic death metal,Melodic death metal,5
melodic death metal,Melodic Death Metal,13
melodic death metal,melodic death metal,1
black metal,Black metal,808
black metal,Black Metal,24
black metal,black metal,1
stoner metal,Stoner metal,222
stoner metal,Stoner Metal,2
prog-rock,Prog-rock,1793
prog-rock,Prog-Rock,5
prog-rock,Prog -rock,1
prog-rock,prog-rock,1
art rock,Art rock,162
art rock,Art-rock,33
art rock,art rock,2
art rock,Art Rock,14
art rock,Art-Rock,1
art rock,alt rock,1
jazz,Jazz,95
jazz,jazz,1
avant-garde,Avant-garde,109
avant-garde,Avant-Garde,6
avant-garde,avant-garde,1
avant-garde,Avant garde,1
psychedelic rock,Psychedelic rock,652
psychedelic rock,Psychedelick rock,2
psychedelic rock,Psychedelic Rock,12
psychedelic rock,Psychedelic Folk,9
psychedelic rock,Pyschedelic rock,2
psychedelic rock,Pscyhedelic rock,1
stoner rock,Stoner rock,358
stoner rock,Stoner Rock,3
stoner rock,stoner rock,1
cinematic,Cinematic,8
cinematic,cinematic,1
avant-garde metal,Avant-garde metal,107
avant-garde metal,Avant-Garde metal,32
avant-garde metal,Avant-Garde Metal,9
electronic,Electronic,150
electronic,Electronica,30
electronic,electronic,2
electronic,Electonic,1
post-rock,Post-rock,674
post-rock,post-rock,4
post-rock,Post Rock,1
post-rock,Post-Rock,8
post-rock,Post rock,1
neo-prog,Neo-prog,55
neo-prog,Neo-Prog,27
pop,Pop,64
pop,pop,2
funeral doom metal,Funeral Doom metal,27
funeral doom metal,Funeral Doom Metal,1
classical,Neoclassical,20
classical,Classical,23
acoustic,Acoustic,42
acoustic,acoustic,1
folk,Folk,96
folk,folk,1
psychedelic,Psychedelic,110
psychedelic,Psyechedelic,1
psychedelic,Psychedelia,7
psychedelic,psychedelic,3
psychedelic,Pschedelic,1
math-rock,Math-rock,14
math-rock,Math-Rock,1
math-rock,math-rock,1
post-black metal,Post-Black metal,59
post-black metal,Post-Black Metal,8
post-black metal,Post-black metal,33
post-black metal,post-black metal,1
math rock,Math rock,199
math rock,math rock,6
math rock,Math Rock,7
zeuhl,Zeuhl,13
zeuhl,zeuhl,1
atmospheric sludge metal,Atmospheric Sludge metal,80
atmospheric sludge metal,Atmospheric Sludge Metal,1
industrial metal,Industrial metal,33
industrial metal,Industrial Metal,4
thrash metal,Thrash metal,216
thrash metal,Thrash Metal,9
thrash metal,Tharsh metal,1
ambient rock,Ambient rock,4
ambient rock,Ambient Rock,1
atmospheric black metal,Atmospheric Black metal,270
atmospheric black metal,Atmospheric Black Metal,12
atmospheric black metal,Atmospheric black metal,3
folk rock,Folk rock,80
folk rock,folk rock,1
folk rock,Folk Rock,4
dream pop,Dream Pop,186
dream pop,Dream pop,5
indie rock,Indie rock,537
indie rock,Indie Rock,11
nu metal,Nu metal,7
nu metal,Nu Metal,2
noise rock,Noise rock,258
noise rock,Noise Rock,4
symphonic metal,Symphonic metal,110
symphonic metal,Symphonic Metal,4
symphonic metal,symphonic metal,1
fusion,Fusion,106
fusion,fusion,1
symphonic rock,Symphonic rock,31
symphonic rock,Symphonic Rock,4
rock opera,Rock opera,2
rock opera,Rock Opera,7
jazz-fusion,Jazz-fusion,2
jazz-fusion,Jazz-Fusion,1
symphonic black metal,Symphonic Black metal,39
symphonic black metal,Symphonic Black Metal,1
cinematic rock,Cinematic rock,3
cinematic rock,Cinematic Rock,1
heavy metal,Heavy metal,251
heavy metal,Heavy Metal,8
post-punk,Post-punk,10
post-punk,Post-Punk,322
post-punk,Post punk,1
space rock,Space rock,93
space rock,space rock,2
space rock,Space Rock,8
space rock,Space-rock,1
progressive,Prog,1
progressive,Prog-?,1
progressive,Progressive,2
neo-classical,Neo-Classical,3
neo-classical,Neo-classical,2
neo-psychedelia,Neo-Psychedelia,73
neo-psychedelia,Neo-psychedelia,1
pop rock,Pop rock,62
pop rock,Pop Rock,4
alternative,Alternative,96
alternative,alternative,1
sludge,Sludge,26
sludge,sludge,1
experimental rock,Experimental Rock,2
experimental rock,Experimental rock,106
experimental rock,Experimental Folk,2
experimental rock,Experimental Pop rock,1
industrial,Industrial,49
industrial,industrial,1
art pop,Art pop,1
art pop,Art Pop,106
hard rock,Hard rock,220
hard rock,Hard Rock,8
hard rock,Hard-rock,2
heavy rock,heavy rock,1
heavy rock,Heavy rock,22
heavy rock,Heavy Rock,1
alternative rock,Alternative rock,3
alternative rock,Alternative Rock,17
eclectic,Eclectic,18
eclectic,eclectic,1
modern rock,Modern rock,2
modern rock,modern rock,1
prog rock,Prog rock,10
prog rock,prog rock,2
prog rock,Prog Rock,5
singer-songwriter,Singer-songwriter,9
singer-songwriter,Singer-Songwriter,153
gothic metal,Gothic metal,54
gothic metal,Gothic Metal,1
gothic metal,Ghotic metal,1
powerviolence,Powerviolence,21
powerviolence,powerviolence,1
experimental black metal,Experimental Black Metal,2
experimental black metal,Experimental Black metal,17
jazz metal,Jazz metal,6
jazz metal,Jazz Metal,1
avant-garde death metal,Avant-Garde Death Metal,1
avant-garde death metal,Avant-Garde Death metal,3
avant-garde death metal,Avant-garde Death metal,6
dissonant metal,Dissonant Metal,1
dissonant metal,Dissonant metal,1
melodic black metal,Melodic Black metal,108
melodic black metal,Melodic Black Metal,3
brutal death metal,Brutal Death metal,72
brutal death metal,Brutal death metal,2
brutal death metal,Brutal Death Metal,3
harsh noise,Harsh Noise,10
harsh noise,Harsh noise,1
drone metal,Drone metal,52
drone metal,Drone Metal,1
avant-garde black metal,Avant-Garde Black Metal,1
avant-garde black metal,Avant-Garde Black metal,10
avant-garde black metal,Avant-garde Black metal,22
alternative metal,Alternative Metal,10
alternative metal,Alternative metal,2
atmospheric doom metal,Atmospheric Doom Metal,1
atmospheric doom metal,Atmospheric Doom metal,6
metallic hardcore,Metallic Hardcore,6
metallic hardcore,Metallic hardcore,1
dissonant death metal,Dissonant Death metal,51
dissonant death metal,Dissonant Death Metal,2
blues rock,Blues rock,76
blues rock,Blues Rock,1
emoviolence,Emoviolence,9
emoviolence,emoviolence,1
heavy psych,Heavy Psych,114
heavy psych,Heavy psych,1
nu-metal,Nu-Metal,4
nu-metal,Nu-metal,17
jazz rock,Jazz rock,53
jazz rock,Jazz Rock,2
pop punk,Pop Punk,70
pop punk,Pop punk,1
heavy prog,Heavy prog,21
heavy prog,Heavy Prog,10
prog pop,Prog pop,1
prog pop,prog pop,1
prog pop,Prog Pop,1
avant-prog,Avant-Prog,27
avant-prog,Avant-prog,5
garage rock,Garage rock,103
garage rock,Garage Rock,2
punk rock,Punk rock,69
punk rock,Punk Rock,2
post-grunge,Post-Grunge,11
post-grunge,Post-grunge,1
electronic rock,Electronic rock,8
electronic rock,Electronic Rock,1
avant-pop,Avant-Pop,11
avant-pop,Avant-pop,1
free jazz,Free Jazz,19
free jazz,Free jazz,1
avant-garde jazz,Avant-garde Jazz,3
avant-garde jazz,Avant-Garde Jazz,17
progressive rock,Progressive Rock,40
progressive rock,Progressive rock,9
new wave,New Wave,16
new wave,New wave,3
progressive death metal,Progressive Death Metal,3
progressive death metal,Progressive Death metal,2
jam band,Jam band,2
jam band,Jam Band,10
jazz-rock,Jazz-Rock,2
jazz-rock,Jazz-rock,7
world music,World music,3
world music,World Music,2
middle eastern,Middle Eastern,2
middle eastern,Middle eastern,1
pop-rock,Pop-Rock,2
pop-rock,Pop-rock,1
nu-disco,Nu-Disco,1
nu-disco,Nu-disco,1
progressive soul,Progressive Soul,1
progressive soul,Progressive soul,1
pop-punk,Pop-Punk,3
pop-punk,Pop-punk,1
chamber music,Chamber music,1
chamber music,Chamber Music,2
electro-funk,Electro-funk,1
electro-funk,Electro-Funk,1
j-pop,J-pop,1
j-pop,J-Pop,1
folk music,Folk music,1
folk music,Folk Music,1
nu-jazz,Nu-Jazz,1
nu-jazz,Nu-jazz,2
nu-jazz,nu-jazz,1
mathgrind,Mathgrind,4
mathgrind,mathgrind,1
d-beat,D-Beat,1
d-beat,D-beat,1
instrumental,instrumental,3
instrumental,Instrumental,1
alt metal,Alt Metal,1
alt metal,Alt metal,1
