Tag,Count
Prog-metal,2706
Prog-rock,1793
Doom metal,840
Death metal,811
Black metal,808
Post-metal,760
Sludge metal,682
Post-rock,674
Psychedelic rock,652
Alt-rock,581
Indie rock,537
Metalcore,455
Shoegaze,395
Technical Death metal,385
Melodic Death metal,373
Stoner rock,358
Post-Hardcore,347
Post-Punk,322
Djent,293
Atmospheric Black metal,270
Noise rock,258
Heavy metal,251
Power metal,250
Ambient,224
Stoner metal,222
Hard rock,220
Thrash metal,216
Alt-metal,207
Deathcore,200
Math rock,199
Dream Pop,186
Experimental,166
Art rock,162
Mathcore,160
Singer-Songwriter,153
Jazz Fusion,152
Electronic,150
Screamo,149
Symphonic,143
Blackgaze,141
Indie Pop,137
Heavy Psych,114
Prog-metal/rock,112
Psychedelic,110
Symphonic metal,110
Avant-garde,109
Melodic Black metal,108
Avant-garde metal,107
Fusion,106
Experimental rock,106
Art Pop,106
Garage rock,103
Grindcore,102
Hardcore,96
Folk,96
Alternative,96
Jazz,95
Space rock,93
Hardcore Punk,87
Folk metal,86
Death Doom metal,85
Krautrock,81
Atmospheric Sludge metal,80
Folk rock,80
Blues rock,76
Grunge,76
Neo-Psychedelia,73
Brutal Death metal,72
Pop Punk,70
Punk rock,69
Pop,64
Pop rock,62
Drone,61
Indie Folk,61
Post-Black metal,59
Alt-Country,56
Groove metal,55
Neo-prog,55
,55
Slowcore,55
Gothic metal,54
Jazz rock,53
Drone metal,52
Dissonant Death metal,51
Post-hardcore,50
Singer/Songwriter,50
Industrial,49
Americana,48
Emo,45
Darkwave,45
Gothic rock,43
Speed metal,43
Acoustic,42
Synthpop,40
Progressive Rock,40
Symphonic Black metal,39
Noise Pop,39
Midwest Emo,37
Power Pop,37
Chamber Pop,37
Symphonic Prog,36
Alt-Pop,36
Doomgaze,35
Dark Folk,35
Progressive Metal,35
Industrial metal,33
Art-rock,33
Post-black metal,33
Prog-rock/metal,32
Avant-Garde metal,32
Symphonic rock,31
Funk,31
Electronica,30
Funk rock,30
Atmospheric,29
Art Punk,28
Slacker rock,28
Funeral Doom metal,27
Neo-Prog,27
Avant-Prog,27
Sludge,26
AOR,25
Dark Ambient,24
Black Metal,24
Avant-rock,23
Classical,23
Country rock,23
Punk,22
Chamber Folk,22
Avant-garde Black metal,22
Heavy rock,22
Powerviolence,21
Death Metal,21
Post-Metal,21
Crust Punk,21
Doom Metal,21
Heavy prog,21
Indie,21
Garage Punk,21
Gothic,21
Neoclassical,20
Psychedelic Pop,20
Crossover Prog,19
Melodic Hardcore,19
Dissonant Black metal,19
Surf rock,19
Free Jazz,19
Crust,18
Eclectic,18
Deathgrind,18
Soul,17
Synthwave,17
Melodic,17
Experimental Black metal,17
RPI,17
Experimental Pop,17
Alternative Rock,17
Avant-Garde Jazz,17
Doom,17
Nu-metal,17
Desert rock,16
Jangle Pop,16
Ambient Pop,16
New Wave,16
Power,16
Post,16
Indietronica,16
Electroacoustic,16
Crossover Thrash,15
Progressive Pop,15
Modern Classical,15
Neofolk,15
Alternative R&B,15
Technical Death Metal,15
Math-rock,14
Psychedelic Black metal,14
Virtuoso,14
Melodic Doom metal,14
Depressive Black metal,14
Contemporary Folk,14
Avant-Folk,14
Art Rock,14
Grunge rock,13
Zeuhl,13
Melodic Death Metal,13
Trip Hop,13
Folk Pop,13
Blackened Hardcore,13
Psychedelic Rock,12
Blues,12
Chiptune,12
Atmospheric Black Metal,12
Slam Death metal,12
Electropop,12
Industrial rock,12
Deathrock,12
Chamber,12
Ethereal Wave,12
RIO,12
Neocrust,12
Sludge Metal,12
Post-Grunge,11
Avant-Pop,11
Nu Jazz,11
Groove,11
Indie Rock,11
Orchestral,10
Experimental metal,10
Post-punk,10
Stoner,10
Prog rock,10
Swancore,10
Harsh Noise,10
Alternative Metal,10
Avant-Garde Black metal,10
Cyber metal,10
Heavy Prog,10
Bedroom Pop,10
Jam Band,10
Extreme metal,9
Technical Thrash metal,9
Canterbury,9
Dark rock,9
Singer-songwriter,9
Symphonic Death metal,9
Epic Heavy metal,9
Melodic Metalcore,9
Thrash Metal,9
Emoviolence,9
Western,9
Avant-Garde Metal,9
Sasscore,9
Epic Doom metal,9
Acoustic rock,9
Coldwave,9
Oriental,9
Psychedelic Folk,9
Post-Industrial,9
Progressive rock,9
New Age,9
Cybergrind,9
Space,9
Psychedelic metal,8
Post-rock/metal,8
Cinematic,8
Post-metal/rock,8
Technical metal,8
Noise,8
Space Rock,8
Post-Black Metal,8
Traditional Doom metal,8
Rap metal,8
Electronic rock,8
Jam,8
Hard Rock,8
Post-Rock,8
Heavy Metal,8
Math metal,8
Neoclassical Darkwave,8
djent,8
Nu metal,7
Jazz fusion,7
Classic rock,7
Skramz,7
Cosmic Black metal,7
Rock Opera,7
Free Improv,7
Black 'n' Roll,7
Alternative Dance,7
Acoustic Folk,7
Math Rock,7
Heavy-prog,7
Jazz-rock,7
Improv,7
Psychedelia,7
Electro-Industrial,7
Emo-Pop,7
Power Metal,7
Technical,6
math rock,6
Jazz metal,6
Pagan Black metal,6
Metallic Hardcore,6
Beatdown Hardcore,6
Brutal Prog,6
Afrobeat,6
Southern rock,6
Gothic Country,6
Piano rock,6
Dark Jazz,6
Post-Punk Revival,6
Avant-garde Death metal,6
Atmospheric Doom metal,6
Traditional,6
Neo-Soul,6
R&B,6
Folk Punk,6
Pop Soul,6
Avant-Garde,6
Contemporary Jazz,6
NWOBHM,5
Eclectic Prog,5
Melodic death metal,5
Atmospheric Death metal,5
Dream pop,5
Experimental Death metal,5
Dark Pop,5
Glam rock,5
Prog-Rock,5
Dissonant,5
Avant-prog,5
Dance-Punk,5
Soul rock,5
Folktronica,5
Minimalism,5
Noisecore,5
Dungeon Synth,5
Soundtrack,5
Rock,5
Prog Rock,5
No Wave,5
Ambient rock,4
Melodic metal,4
Technical Deathcore,4
Reggae,4
Breakcore,4
Atmospheric Post-metal,4
Raw Black metal,4
Bluegrass,4
Medieval Black metal,4
Hip-Hop,4
Nu-Metal,4
Neo-Psychedelic,4
Drone rock,4
Modern Jazz,4
Fuzz rock,4
Occult rock,4
Tishoumaren,4
Post-Bop,4
Ska Punk,4
Spiritual Jazz,4
Symphonic Rock,4
Folk Rock,4
Anarcho-Punk,4
Noise Rock,4
post-rock,4
Chamber Jazz,4
Fuzz,4
Hyperpop,4
Roots rock,4
Nordic Folk,4
Dance-Pop,4
Psychedelic Soul,4
Alt-Punk,4
Ambient Electronic,4
Dub,4
Sound Collage,4
Hypnagogic Pop,4
Alt-Folk,4
Synth Funk,4
Pop Rock,4
Drone Doom,4
Garage Pop,4
Power Electronics,4
Math,4
Symphonic Metal,4
Mathgrind,4
Industrial Metal,4
metalcore,4
Blackened Death metal,3
Blackened Sludge metal,3
Cinematic rock,3
Melodic/Technical Death metal,3
Neo-Classical,3
Alternative rock,3
Tribal,3
Grungegaze,3
Irish Folk,3
Viking metal,3
Space metal,3
Avant-Garde Death metal,3
Emo Pop,3
Surf Punk,3
Ritual Ambient,3
Avant-garde Jazz,3
Tribal Ambient,3
Glitch Pop,3
Stoner Rock,3
Progressive Death Metal,3
death metal,3
Trip-Hop,3
Goth,3
World music,3
New wave,3
J-rock,3
Contemporary R&B,3
Post-Minimalism,3
Experimental Jazz,3
Futurepop,3
Digital Hardcore,3
Math Pop,3
Experimental Hip Hop,3
Jazz Funk,3
Jazz-Funk,3
Heartland rock,3
Dance Pop,3
Pop-Punk,3
Abstract Hip Hop,3
Thrash,3
Synth Punk,3
Art-pop,3
Synth-pop,3
Country,3
Acid Folk,3
Free Folk,3
Death-Industrial,3
Acid,3
psychedelic,3
Old school death metal,3
Technical death metal,3
Atmospheric black metal,3
Opera,3
Goregrind,3
instrumental,3
Melodic Black Metal,3
Brutal Death Metal,3
Black,3
Post-black,3
Atmospheric Sludge,3
Psychedelick rock,2
Post-metal/hardcore,2
Ska,2
Rock opera,2
Jazz-fusion,2
Traditional Heavy metal,2
space rock,2
Synth,2
Experimental Rock,2
art rock,2
Piano,2
Proto-metal,2
Modern rock,2
Experimental Black Metal,2
Melodic Deathcore,2
Avant-Jazz,2
Death Industrial,2
Experimental Noise,2
Cavernous Death metal,2
Jazz Poetry,2
Celtic metal,2
Gothic Pop,2
Dark Cabaret,2
Pyschedelic rock,2
Britpop,2
Rap rock,2
Poetry,2
Country Folk,2
Instrumental Post-Rock,2
post-hardcore,2
Country Pop,2
Baroque Pop,2
Neo-Folk,2
Melancolic,2
Heavy,2
Epic,2
Neo-classical,2
Comedy rock,2
Experimental Doom metal,2
Electronic metal,2
prog rock,2
Technical Black metal,2
Jazzcore,2
Jam band,2
Jazz-Rock,2
Orchestral Pop,2
Dark,2
pop,2
Middle Eastern,2
Party metal,2
Melodic rock,2
Experimental Big Band,2
Pop-Rock,2
Pagan,2
Chanson,2
Vaporwave,2
Stadium rock,2
Downtempo,2
Pigfuck,2
Emo Punk,2
Traditional Pop,2
Experimental Folk,2
IDM,2
American Primitivism,2
Trap,2
Choral,2
Neoclassicism,2
Jazz Pop,2
Sophisti-Pop,2
Pirate metal,2
Psychedelic Sludge metal,2
Hip Hop,2
Nu Metal,2
Reggae rock,2
French Pop,2
Punk Rock,2
Jazz Rock,2
Garage Rock,2
Street Punk,2
Retro rock,2
Doom rock,2
Psychedelic Jazz,2
Freak Folk,2
Warr Guitar,2
Industrial Noise,2
Emocore,2
Rhythm & Blues,2
Tex-Mex,2
Neo-Pagan Folk,2
Traditional Folk,2
Chamber Music,2
Chillwave,2
Improv Jazz,2
Livetronica,2
EBM,2
World Music,2
Surf,2
Sunshine Pop,2
Synth Pop,2
Horror Punk,2
Spoken Word,2
Ritual Folk,2
Hard-rock,2
Minimalist,2
Kraut,2
One-man-band,2
Tribute,2
Tropical,2
Nu-jazz,2
Avant,2
jazz fusion,2
symphonic,2
Progressive,2
Brutal death metal,2
Stoner Metal,2
Alternative metal,2
Metal-core,2
Post Metal,2
Progressive Post-Hardcore,2
Modern metal,2
Stargaze,2
Chaotic Hardcore,2
Symphonic Deathcore,2
War metal,2
Progressive Death metal,2
electronic,2
Swing,2
Western Black metal,2
Prog-Metal,2
OSDM,2
Dissonant Death Metal,2
Prog Metal,2
Progressive metal,2
prog-metal,2
Atmospheric/Post-Black metal,1
Melodic Prog-metal/rock,1
Symphonic Prog-rock,1
Oriental rock,1
Movie Soundtrack,1
Melodic/Blackened Death metal,1
Electro,1
Stoner rock/metal,1
Doom rock/metal,1
Melodic prog-metal,1
Psyechedelic,1
Progressive noise,1
Doom metal/rock,1
Stoner metal/rock,1
Igorrr,1
Speed/Thrash metal,1
Shred,1
Free-jazz,1
Prog,1
Art pop,1
Cinmatic,1
Improvisation,1
folk rock,1
Atmospheric Post-rock,1
heavy rock,1
Midi,1
Harsh Electronic,1
Beatdown Deathcore,1
Slam,1
Nintendocore,1
Avant-Garde Death Metal,1
Dissonant Metal,1
Noise Electronics,1
Thall,1
Avant-Garde Black Metal,1
Southern metal,1
Atmospheric Doom Metal,1
Gothic Metal,1
Trance House,1
Classical Jazz,1
Tharsh metal,1
Symphonic Black Metal,1
Experimental Drone metal,1
DSBM,1
Crossover,1
Crossover prog,1
Prog pop,1
Eclectic rock,1
Big Band,1
Psychedelic/Space Rock,1
Future Jazz,1
New wave and prog rock,1
Arena rock,1
Orchestral rock,1
Pop Prog,1
Keyboard,1
Dance Punk,1
Crossover Jazz,1
Anatolian rock,1
Turkish Psychedelic,1
Celtic rock,1
Alt Pop,1
Math Jazz,1
Orchestral Post-rock,1
Dream Punk,1
Improvised rock,1
Cosmic rock,1
Contemporary Classical,1
Yacht rock,1
Nature Folk,1
Instrumental Rock,1
Sludge rock,1
Math-Rock,1
Jangle rock,1
Punk-Rock,1
math-rock,1
noise-rock,1
prog pop,1
psych rock,1
Post Rock,1
Blues Rock,1
High Fantasy,1
Touhou,1
Anime,1
Death,1
Carnatic,1
Orchestral Death metal,1
Synthgaze,1
Dissonant metal,1
Psychedelic Death metal,1
Acapella,1
Dark Synthwave,1
Ghotic metal,1
Space Black metal,1
Atmospheric Dark rock,1
Experimental hardcore,1
Ethnic,1
Ethereal Doom metal,1
Medieval Folk metal,1
Art,1
Retro Prog,1
Post rock,1
Heavy psych,1
Free jazz,1
acoustic,1
folk,1
Avant-pop,1
Contemporary rock,1
Microtonal,1
Industrial Punk,1
Electropunk,1
Electronic Dance Music,1
Experimental Hip-Hop,1
Nu-gaze,1
Vocal Jazz,1
Swamp rock,1
Electronic Pop,1
Skatepunk,1
Death rock,1
Musical Theatre,1
Garage Psych,1
Country Soul,1
Korean Folk,1
Twang,1
Trad Folk,1
Indie Soul,1
Folk-Pop,1
Arabic Jazz,1
Ethnic Folk,1
Retro Pop,1
Nu-Disco,1
Neo-Punk,1
Alt-Gothic,1
Contemporary Funk,1
Garage Rock Revival,1
Alt-Blues,1
Ambient Trance,1
Industrial Hip Hop,1
Power Noise,1
Red Dirt,1
Minimal Wave,1
Ambient Techno,1
Shimokita-kei,1
Slacker Folk,1
Progressive Soul,1
Ambient Americana,1
Experimental Electronic,1
Afro-Funk,1
Jazz Rap,1
Afro-rock,1
Windmill Scene,1
Soul Jazz,1
Latin Pop,1
Sea Shanty,1
R&B Soul,1
Soul Pop,1
Nordic Folk Music,1
Epic Black metal,1
Comedy,1
Celtic,1
Darksynth,1
Black n' Roll,1
Free Improvisation,1
Glitch Electronic,1
Cyberpunk,1
Dark Country,1
Contemporary Pop,1
Doom Pop,1
Chamber music,1
Rap,1
Pop punk,1
Arabic Folk Music,1
Future Pop,1
Mongolian,1
Pop art,1
Indian,1
Fates Warning related,1
Goth rock,1
EDM,1
Atmospheric rock,1
Theatrical,1
Heavy Blues,1
Ambient Electronica,1
Christian progressive rock,1
Anternative,1
Instrumental Progressive Rock,1
piano oriented,1
Pop-punk,1
Ambient Rock,1
Symphonic Progressive Rock,1
VGM,1
Hardcore Funk,1
Doom Jazz,1
Neo-Grunge,1
Alternative Rock/Indie Rock/Emo,1
Electronic Rock,1
Synthrock,1
Bluegras,1
Jazz-Fusion,1
Electro-funk,1
Nu-disco,1
Dance rock,1
Lo-fi,1
Prog Pop,1
Rock N' Roll,1
piano-oriented,1
Instrumental Math Rock,1
New-Wave,1
Alternative Pop,1
Harsh noise,1
J-pop,1
Experimental pop,1
RnB,1
Disco Funk,1
Post-Rock/Alternative,1
Post-Indie,1
Appalachian Folk music,1
Synth rock,1
Traditional Country,1
Rock-pop,1
Boogie,1
Disco,1
World Fusion,1
Theatrical Pop,1
Gothic Folk,1
Film Score,1
French Electro,1
Electro House,1
Soft rock,1
Glitch,1
Post-Noise,1
Neo-Medieval,1
Neo-psychedelia,1
Progressive soul,1
Sadcore,1
Latin-Jazz,1
Kosmische,1
Italian Prog,1
Folk music,1
Contemporary Blues,1
Experimental Pop rock,1
Drone Pop,1
Kawaii,1
Jangle Punk,1
Neo Psych,1
Chicago Soul,1
Psychedelic Trance,1
Heavy Pop Rock,1
Dream metal,1
Minimal Folk,1
Nu-Jazz,1
J-Pop,1
Avant-Funk,1
Electro-Ambient,1
Smooth Jazz,1
Disco-Funk,1
Theatrical rock,1
Chamber Rock,1
World Music (Brazil),1
Electro-Funk,1
Ambient Noise,1
Lo-fi Shoegaze,1
Post-Americana,1
Ambient Folk,1
Funk n' Roll,1
Electronic Music,1
Irish Folk Music,1
Pscyhedelic rock,1
Acid Jazz,1
Ambient Dub,1
Cabaret,1
Dream Folk,1
Yatch rock,1
Field Recordings,1
Art-Rock,1
Noise Ambient,1
Bossa Nova,1
Pop Reggae,1
Post-Apocalyptic,1
Alt-Drone,1
Ambient Drone,1
Pub rock,1
Western Noir,1
Futuristic,1
Bubblegum Bass,1
Rockabilly,1
Animistic Folk,1
Angular Pop,1
Rautalanka,1
Jazz-core,1
Latin Big Band,1
Noisegaze,1
Progressive Electronic,1
Scum rock,1
Indie Punk,1
Skate Punk,1
Disco-Punk,1
Proto-Punk,1
Melodic House,1
Tech House,1
Post-Britpop,1
Post-Blues,1
Indie Surf,1
Grunegaze,1
Persian Pop,1
Third Stream,1
Psychedelic Funk,1
Nordic Jazz,1
Twee Pop,1
Emo Rap,1
Grunge Jazz,1
Deep House,1
Post-Modern Pop,1
Scottish Music,1
Noise Punk,1
Glam Punk,1
Kosmsiche,1
Nugaze,1
A Capella,1
Eastern European,1
Southern Soul,1
Electronic Avant-Garde,1
Cosmic Folk,1
Power rock,1
Elcectic,1
Power-metal (tinges),1
Gong-related,1
Pop-rock,1
Soft Machine-related,1
Zappa,1
Documentary,1
Wind,1
Guitar virtuoso,1
King Gizzard-like,1
Quasi metal,1
Zheul,1
Operatic,1
Punk Jazz,1
Heavy Rock,1
Riverside-esque,1
Garage,1
Primus-related,1
Melodic prog,1
Keyboard-driven,1
Afrolatin,1
Fleetwood Mac?,1
Religious,1
Steelpan,1
Post Prog,1
Space-rock,1
Soundscape,1
Sympohnic,1
Horror,1
Djent-ish lite,1
Rush-oriented,1
Middle eastern,1
Hawkwind-ish,1
Drum-oriented,1
Middle-eastern,1
Deep Purple-ish,1
Post-grunge,1
Crimson-y,1
Crimson-esque,1
Floyd-esque,1
Neo prog,1
Prog -rock,1
nu-jazz,1
Trance,1
Minimal,1
Gospel,1
Prog-?,1
Musical,1
Avant pop,1
fusion,1
afro,1
cinematic,1
avant-garde,1
experimental,1
Post punk,1
Canterbury scene,1
zeuhl,1
Drone/Dark Ambient/Atmospheric Black Metal,1
Death black,1
Blackened doom,1
Glam metal,1
Adventure metal,1
Melodic Heavy Metal,1
Powerviolence/Black Metal/Death Metal,1
Djenty,1
Post-metalâ€Ž,1
Progressive Metalcore,1
Emoviolence/Skramz,1
Trance metal,1
Beatdown,1
Black Metal/Death Metal,1
Experimental Sludge metal,1
Death Metal/Heavy Metal/OSDM,1
Progressive Jazz Metal,1
Blackened Crust,1
Folk Music,1
Sludgecore,1
Glitch metal,1
Alt-Metal,1
Avant-Doom Metal,1
Trap metal,1
Instrumental Progressive Metal,1
Hellenic Black metal,1
8-bit,1
Arabic Folk,1
Easycore,1
Romanian Folk,1
D-Beat,1
Blackend Hardcore,1
Dark Synth,1
Cosmic Doom metal,1
Emocrust,1
Witch Folk,1
D-beat,1
Country Doom,1
Heavy Twang,1
Musical Parody,1
Deathgaze,1
Mittelalter-Metal,1
Spacegrind,1
jazz,1
sludge,1
stoner rock,1
alt rock,1
Avant-black,1
prog-rock,1
melodic death metal,1
technical death metal,1
Synth doom,1
post-black metal,1
black metal,1
Modern,1
industrial,1
Artcore,1
Psychedelic Stoner metal,1
Epic metal,1
modern rock,1
Depressive Rock,1
Medieval,1
Psychedelic Doom metal,1
Glitch electronica,1
l,1
Parody metal,1
Kawaii metal,1
Mitteralter metal,1
Nautical metal,1
Lo-fi House,1
Blackened Grindcore,1
Mitteralter-metal,1
Alt Metal,1
Operatic metal,1
Avant garde,1
Funk metal,1
Pop metal,1
Progressive Sludge Metal,1
Dadaist,1
mathgrind,1
Atmospheric Sludge Metal,1
Metallic hardcore,1
Folk Metal,1
Alt metal,1
powerviolence,1
Cinematic Rock,1
Jazz Metal,1
Space Ambient,1
Drone Metal,1
emoviolence,1
Funeral Doom Metal,1
Pagan metal,1
Electonic,1
Post metal,1
Atmosheric Black metal,1
Blackened/Melodic Death metal,1
Seventh Wonder-ish,1
Viking,1
World,1
Steampunk,1
Pschedelic,1
alternative,1
Technical/Melodic Death metal,1
Doom-gaze,1
Neoclassica,1
eclectic,1
Hard Prog,1
Prog metal,1
symphonic metal,1
symphonic black,1
groove metal,1
Contemporary,1
Instrumental,1
Cinematic Metal,1
